"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"1","N_total",0.0170603411831285,1.28435080484386e-14,0.0068118856763668,0.0153555665717098,0.0159398331370814,0.00410331613021231,7.91799384935967e-14,0.0135888419831185,0.0151007045831153,2.30363310093958e-63,0.01,3.16967301546507,0.499999826518018,100,"TAindex",10,1
"2","5yrs20ages",2.84989518822427,2.21419057128951,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1.5430165026255,0.998431481378429,5,"hier",2,1
"3","10yrs10ages",0.157827427437591,0.131118270006226,4.49521740738713e-12,NA,NA,NA,NA,NA,NA,NA,0.01,2.74455532622476,0.980812884597293,10,"hier",3,1
"4","20yrs5ages",0.104104014091775,0.0711445259255802,3.22819516428225e-48,0.152472610981021,NA,NA,NA,NA,NA,NA,0.01,2.06060055410243,0.995346144085854,20,"hier",4,1
"5","25yrs4ages",0.122256192022868,0.00361178844584719,0.0484782068316727,5.04633294081886e-183,3.65981045534779e-182,NA,NA,NA,NA,NA,0.01,3.06433704622273,0.999669090544316,25,"hier",5,1
"6","N_total",0.0171810064315606,0,0.0149704789760458,3.46977408457393e-98,0.0268639524704601,0,0,0.0118250600756072,0.013007907188088,0,0.01,3.22002424389103,0.499999826518018,100,"TAindex",10,2
"7","5yrs20ages",0.423506632504162,0.684857588859435,NA,NA,NA,NA,NA,NA,NA,NA,0.0337982458830664,1.56823233076617,0.969243549238347,5,"hier",2,2
"8","10yrs10ages",0.131686578284423,0.084314662626315,0.0124102525682948,NA,NA,NA,NA,NA,NA,NA,0.01,2.78329653132147,0.985277453050788,10,"hier",3,2
"9","20yrs5ages",0.0824524540131838,0.0671882396425577,4.13374075923308e-44,0.179598396777156,NA,NA,NA,NA,NA,NA,0.01,2.14561903874245,0.995731293286124,20,"hier",4,2
"10","25yrs4ages",0.0961468440111046,0.0159496010686655,0.0118997081358955,2.73223988514892e-08,0.0246840445198245,NA,NA,NA,NA,NA,0.01,2.88304360718363,0.999559356566929,25,"hier",5,2
"11","N_total",0.0172369350678033,0,0.0152146797347542,8.0383783428462e-58,0.028572019728116,2.70651171148547e-58,0,0.0100994083267598,0.0138526960634258,0,0.01,3.21531437474657,0.500000076493016,100,"TAindex",10,3
"12","5yrs20ages",1.2523733016923,1.05629229149008,NA,NA,NA,NA,NA,NA,NA,NA,0.0293497515019219,1.09639715767112,0.994080358999927,5,"hier",2,3
