"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model"
"1","N_total",0.999913793849359,0.0053106988242119,0.999888771418091,0.00567611154880461,172.179681574104,202.557988936975,7.87339555221441,0.499999826518018,100,"TAindex",1,"all","preyNT"
"2","5yrs20ages",-0.559031135630289,4.95628223246973,0.998930576974761,0.129231275771887,27.219907310405,84.5263638856105,34.5535330192967,0.998431481378429,5,"hier",1,"all","prey205"
"3","10yrs10ages",0.931548945034814,0.964679888559714,0.997853535601425,0.17672018801029,69.5299414676836,114.272508057785,34.5518523325746,0.980812884597293,10,"hier",1,"all","prey1010"
"4","20yrs5ages",0.997570140435418,0.170239634081044,0.998263727825663,0.160161712004372,72.5339926447373,115.743401736333,22.4958793816929,0.995346144085854,20,"hier",1,"all","prey520"
"5","25yrs4ages",0.999113544973817,0.108675034320765,0.999188101424869,0.101264807696645,136.078805428105,175.027580898819,10.9816728555178,0.999669090544316,25,"hier",1,"all","prey425"
"6","N_total",0.999898342925415,0.00574855227282713,0.999879309426918,0.00589707925709089,172.314151252611,202.597356734259,7.72144425279646,0.499999826518018,100,"TAindex",2,"all","preyNT"
"7","5yrs20ages",-0.213347267591083,4.34284047519269,0.996655729102192,0.226687323534378,16.6449517731755,45.4938224145177,38.3797773356859,0.969243549238347,5,"hier",2,"all","prey205"
"8","10yrs10ages",0.94643886608438,0.840604773286036,0.99730198288388,0.199138090671475,72.4620561718477,113.171241643584,32.6918950490023,0.985277453050788,10,"hier",2,"all","prey1010"
"9","20yrs5ages",0.998336105878544,0.144111464744753,0.9984790102562,0.149099556832019,73.565026972123,117.20765695031,22.1627662699637,0.995731293286124,20,"hier",2,"all","prey520"
"10","25yrs4ages",0.998929407535097,0.118350730815046,0.99913799918679,0.102519779813545,135.174154077164,174.247338927121,12.0140875268682,0.999559356566929,25,"hier",2,"all","prey425"
"11","N_total",0.999903134317651,0.00559215509416758,0.999882299124419,0.00584499332725949,172.257671245214,202.596238765978,7.7441873440912,0.500000076493016,100,"TAindex",3,"all","preyNT"
"12","5yrs20ages",-0.365037973428238,4.64840035727508,0.995920434528121,0.253095798533931,27.7692249980277,62.7803270898279,24.9887773449117,0.994080358999927,5,"hier",3,"all","prey205"
"13","10yrs10ages",0.929226735293706,0.985889649088844,0.997888604277374,0.175046059187831,67.7646404311035,112.577611519009,35.2739764342016,0.980482305346354,10,"hier",3,"all","prey1010"
"14","20yrs5ages",0.99719327847072,0.18166522591267,0.998168931703379,0.16471163446408,72.2263322760253,115.244593383515,22.5372057105295,0.99530149294319,20,"hier",3,"all","prey520"
"15","25yrs4ages",0.99923838608183,0.101170440886564,0.999275773286909,0.096229758349932,135.986350631668,175.255892283176,11.1260342223848,0.99967646954508,25,"hier",3,"all","prey425"
"16","N_total",0.999975888478385,0.00253645988642205,0.999966414270052,0.0031432538337057,172.255094585772,202.944776660307,7.87178357826821,0.499999826518018,100,"TAindex",4,"all","preyNT"
"17","5yrs20ages",-0.288287910409898,4.5731650772735,0.997387037486795,0.20504383204567,19.5291339825069,51.2712611094405,37.8086675836762,0.973902391643098,5,"hier",4,"all","prey205"
"18","10yrs10ages",0.92644510400719,1.03178695001277,0.997097329023653,0.204438943567627,65.7643662601725,105.698715823397,34.5650300507269,0.985509462186732,10,"hier",4,"all","prey1010"
"19","20yrs5ages",0.997223421996247,0.175712515502472,0.998504500245618,0.149294557586342,71.4526063088111,116.4987246156,22.9423417511994,0.997126641405005,20,"hier",4,"all","prey520"
"20","25yrs4ages",0.998770210431009,0.132865288882695,0.999051627171175,0.113791758705929,135.812502109473,174.487399117492,10.6098815154195,0.99971383399413,25,"hier",4,"all","prey425"
"21","N_total",0.999885675708433,0.00599736809379435,0.999878861657154,0.00590115409427783,172.355042154238,202.601954351809,7.71280590221231,0.500000076493016,100,"TAindex",5,"all","preyNT"
"22","5yrs20ages",-0.320608955259479,4.51385976806281,0.997996828556606,0.174706671416579,15.6043457272389,42.7140848709383,41.4960447450695,0.949274036326425,5,"hier",5,"all","prey205"
"23","10yrs10ages",0.964540641032526,0.678457647960287,0.99671663315511,0.220406748011945,72.6953411748415,112.34515312133,30.4733417481138,0.982118255850249,10,"hier",5,"all","prey1010"
"24","20yrs5ages",0.998391799397455,0.143458069594367,0.998418017609361,0.151500043173551,74.1333751613007,117.433260932413,21.6819704153938,0.996271889132183,20,"hier",5,"all","prey520"
"25","25yrs4ages",0.998836613825714,0.123050444925131,0.99903177267219,0.107673525637917,134.847640951046,173.811955945863,12.0454947599906,0.999549674302808,25,"hier",5,"all","prey425"
"26","N_total",0.999886803080205,0.00569407456414765,0.999876440169977,0.00595045326514611,172.413296764612,202.602506249041,7.69682916890124,0.499999826518018,100,"TAindex",6,"all","preyNT"
"27","5yrs20ages",-0.374788794333901,4.57624282751524,0.995233994300253,0.267773791782315,27.8483132941339,58.9462897966054,26.7990103292087,0.990997127443579,5,"hier",6,"all","prey205"
"28","10yrs10ages",0.959907418246041,0.712389049777293,0.997209987721821,0.204265683503451,73.283869036974,115.16948015116,31.5959167585943,0.98665269771849,10,"hier",6,"all","prey1010"
"29","20yrs5ages",0.998652453445623,0.133879131821478,0.998275317584281,0.157070528063294,75.6643868958501,117.808798457135,20.3902717037172,0.997522063469926,20,"hier",6,"all","prey520"
"30","25yrs4ages",0.999268196800974,0.0975279504374354,0.999160036887776,0.0989335653930092,134.565665450514,174.117999914471,12.3580238863359,0.999551494731792,25,"hier",6,"all","prey425"
"31","N_total",0.999884725914941,0.00584328366888608,0.999877302148773,0.00593234865535009,172.395352276004,202.603756402791,7.70011251617596,0.499999826518018,100,"TAindex",7,"all","preyNT"
"32","5yrs20ages",-0.404381245094415,4.63447861607655,0.996865358870492,0.217567125863532,24.3295250467765,55.8338729517408,33.5335797578832,0.984432539922755,5,"hier",7,"all","prey205"
"33","10yrs10ages",0.959103346313861,0.722186155274274,0.996935253627351,0.213745005182554,72.7098481360941,113.428159581229,31.03713377063,0.984812883575858,10,"hier",7,"all","prey1010"
"34","20yrs5ages",0.998520111452804,0.139499013777871,0.998227367800479,0.159601548327454,74.951569801415,117.316271942049,20.7846500454579,0.997171934756644,20,"hier",7,"all","prey520"
"35","25yrs4ages",0.999146168743218,0.105316443049983,0.99910867457244,0.102319370495909,134.567321343025,173.935228181995,12.3071615597535,0.999544870429541,25,"hier",7,"all","prey425"
"36","N_total",0.999880862801574,0.00561007243237709,0.999874274279849,0.00599686884662538,172.453924354185,202.602114340624,7.68287433738266,0.499999826518018,100,"TAindex",8,"all","preyNT"
"37","5yrs20ages",-0.37142035854937,4.55114843898883,0.996524465859173,0.227856597354485,27.7436596643112,62.3315849546888,26.2775982669762,0.99320294870248,5,"hier",8,"all","prey205"
"38","10yrs10ages",0.961306557926711,0.694808678758034,0.997431291660947,0.196616864595177,74.9162726824299,117.421089374456,31.648844201568,0.987939957454164,10,"hier",8,"all","prey1010"
"39","20yrs5ages",0.998595753879013,0.13820858592449,0.998340639179345,0.153311532146677,77.0386939773555,118.860264691102,19.6485144937054,0.997904823351191,20,"hier",8,"all","prey520"
"40","25yrs4ages",0.999215926277472,0.101139159365407,0.999160505800339,0.0981542105601266,134.568534664843,174.234936713858,12.2044730849587,0.999589670871449,25,"hier",8,"all","prey425"
"41","N_total",0.999907100136044,0.00552557909221434,0.999879915274313,0.00588803223801338,172.284382647994,202.590874456395,7.73621122888152,0.500000076493016,100,"TAindex",9,"all","preyNT"
"42","5yrs20ages",-0.21351748992296,4.35501745915549,0.993222578198179,0.323750336105711,15.7532164870806,42.4872935782272,30.2579454466994,0.978709801419363,5,"hier",9,"all","prey205"
"43","10yrs10ages",0.935523850143581,0.927879759112871,0.997565711646113,0.188728353392484,71.832027955884,115.115988916677,33.0049429835824,0.981390137955197,10,"hier",9,"all","prey1010"
"44","20yrs5ages",0.998196257010806,0.148655029425653,0.998470236088976,0.149884556762847,73.1251677365934,116.853213718852,22.436606952167,0.995475490789525,20,"hier",9,"all","prey520"
"45","25yrs4ages",0.999069467823949,0.11066791920856,0.999226665974425,0.0977835855942789,135.312916089728,174.571640110794,12.0275615985231,0.999570234288945,25,"hier",9,"all","prey425"
"46","N_total",0.999883627677825,0.0056160433884687,0.999873394854121,0.00601946471168961,172.441160617156,202.596960362332,7.68307732840373,0.499999826518018,100,"TAindex",10,"all","preyNT"
"47","5yrs20ages",-0.367890276497431,4.55117802665774,0.995824547864556,0.250000360558122,28.8731428656402,62.3330702203637,25.3090096932134,0.993437885821916,5,"hier",10,"all","prey205"
"48","10yrs10ages",0.961511834629315,0.694405919282123,0.997408513146649,0.197304773397766,74.4352939546479,116.957017276552,31.7566439160971,0.987732988554067,10,"hier",10,"all","prey1010"
"49","20yrs5ages",0.99863265610322,0.135937471781353,0.998327058929063,0.154167741742359,76.6806926989939,118.579150736618,19.8519428782189,0.997815075308343,20,"hier",10,"all","prey520"
"50","25yrs4ages",0.999265324013443,0.0978303142135524,0.999166855870084,0.097996601498219,134.59005987016,174.231288949462,12.2502229078479,0.999578387644278,25,"hier",10,"all","prey425"
"51","N_total",0.999905800375975,0.00555806496347854,0.999886130048201,0.00573184499846708,172.217183108099,202.567867626294,7.83485922296989,0.499999826518018,100,"TAindex",11,"all","preyNT"
"52","5yrs20ages",-0.206824078231592,4.33933402167701,0.994226882202157,0.298501751520779,16.2642144195368,43.8066135543983,32.4249309522019,0.977024490505089,5,"hier",11,"all","prey205"
"53","10yrs10ages",0.939397134937982,0.897897896776897,0.99746556904233,0.192700659045521,72.1275713554205,114.89559212841,32.6315483235323,0.98148169149145,10,"hier",11,"all","prey1010"
"54","20yrs5ages",0.998262922373087,0.146300831363389,0.998485523506902,0.149029080627673,73.2606709174998,116.98436742301,22.3888028265444,0.995526834350651,20,"hier",11,"all","prey520"
"55","25yrs4ages",0.999024488007055,0.113195843388411,0.999200406540031,0.0992139527204133,135.283673255625,174.48095227043,12.0178848439931,0.999566161547692,25,"hier",11,"all","prey425"
