"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","tslength","approach","maxE","iter"
"1","5yrs20ages",0.21745136141053,0.298135562911527,0.01,1.74588907663548,0.938596914929084,NA,NA,NA,5,"hier",2,1
"2","10yrs10ages",0.158969386035819,0.0748465126250402,0.01,3.29924463675955,0.993083318019186,4.0477809110072e-62,NA,NA,10,"hier",3,1
"3","20yrs5ages",0.149302771242306,0.0895286092291455,0.01,1.1787045476487,0.999130708934313,0.0649185615578535,0.337761107488537,NA,20,"hier",4,1
"4","25yrs4ages",0.110579495687124,0.0180840108343635,0.01,2.88674757141278,0.999603453590728,0.00882854801625383,8.94969838872973e-13,0.0274160414504124,25,"hier",5,1
"5","5yrs20ages",0.153800400529222,0.427179210209049,0.01,2.40703306569766,0.967636377860481,NA,NA,NA,5,"hier",2,2
"6","10yrs10ages",0.130644968191316,0.0842744623868718,0.01,3.24103351616723,0.992191001910387,2.07610741650933e-16,NA,NA,10,"hier",3,2
"7","20yrs5ages",0.146620189502706,0.109463550405422,0.01,1.07386785962662,0.999025526826006,0.0678772836292398,0.282757553372062,NA,20,"hier",4,2
"8","25yrs4ages",0.0975616294060696,0.0151216930016629,0.01,2.91846701833962,0.999609115794844,0.00964707973583498,7.78296999064112e-10,0.0287894603915535,25,"hier",5,2
"9","5yrs20ages",1.10830400296386,0.327626151650771,0.0185841865943467,1.21848914482629,0.983396232318455,NA,NA,NA,5,"hier",2,3
"10","10yrs10ages",0.245589412988624,0.112064914672384,0.01,3.06643238109994,0.9975073672102,0.00349730642809612,NA,NA,10,"hier",3,3
"11","20yrs5ages",0.142181698618964,0.135743007013055,0.01,1.15795939075031,0.99853929480229,0.0122878694315739,0.214382344573193,NA,20,"hier",4,3
"12","25yrs4ages",0.100788009064323,0.0171381237591907,0.01,2.93435865428847,0.999704507444423,0.0066459490545887,1.06629839461286e-14,0.0285705807539619,25,"hier",5,3
"13","5yrs20ages",1.0411092672933,0.793916043586174,0.0139830451751401,1.29205943295025,0.983078673996871,NA,NA,NA,5,"hier",2,4
