"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model","age class"
"1","5yrs20ages",0.925353802502496,0.378399491747678,0.999795613228977,0.0176000954354978,63.9157316086546,104.20394498482,53.0116504140192,0.983879368443046,5,"hier",1,"all","prey205",NA
"2","10yrs10ages",0.998156256723049,0.0317248103847246,0.998933880420872,0.0235768373732884,121.880108048495,161.313402551936,17.8225841306261,0.998635080193905,10,"hier",1,"all","prey1010",NA
"3","20yrs5ages",0.999617816316201,0.0104268525127524,0.999686367947366,0.0104193792632249,149.703626182179,186.138983910662,13.0275685496534,0.99732139198702,20,"hier",1,"all","prey520",NA
"4","25yrs4ages",0.999841971071167,0.00693332059300876,0.999845446597556,0.00649141585425397,152.880578236076,187.016629397542,10.2298214620327,0.998706579819207,25,"hier",1,"all","prey425",NA
"5","5yrs20ages",0.743442954357404,0.848031466061776,0.999083889987193,0.0483618560727048,50.1071539901206,83.9694946282808,52.6252294195468,0.97280085112779,5,"hier",2,"all","prey205",NA
"6","10yrs10ages",0.996925844762821,0.0676407946651289,0.997140479056108,0.0527965528010419,118.570926684991,159.350491649359,19.5675188295329,0.998219330072264,10,"hier",2,"all","prey1010",NA
"7","20yrs5ages",0.999307899481459,0.026845979716835,0.999428360739731,0.0249427909880986,150.553693151069,186.777826586369,11.2831995346109,0.999437367700353,20,"hier",2,"all","prey520",NA
"8","25yrs4ages",0.999733627437871,0.0168874508060478,0.999689248837251,0.0190624400588042,151.087911940504,186.365688458891,10.2032180630339,0.999417635939142,25,"hier",2,"all","prey425",NA
"9","5yrs20ages",0.530118382078213,1.25877812082237,0.99953776310613,0.0457872016670149,58.6870443925864,99.7033325701023,56.6157598592694,0.978928828516064,5,"hier",3,"all","prey205",NA
"10","10yrs10ages",0.997094092620684,0.0849747470089423,0.997764080635589,0.0743838108735397,115.452897953395,156.255567146273,20.5968237777028,0.99806768899052,10,"hier",3,"all","prey1010",NA
"11","20yrs5ages",0.998994872389918,0.0454715635652799,0.998995955615447,0.0422592947406499,143.873032749727,183.517944694811,13.1357900541376,0.999242829412269,20,"hier",3,"all","prey520",NA
"12","25yrs4ages",0.999639928499035,0.0269131732166583,0.999622039257432,0.0267174409262491,148.968012900068,185.612812648081,11.1127990668457,0.999285697892565,25,"hier",3,"all","prey425",NA
