"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model"
"1","5yrs20ages",-0.412888603643593,14.3452679591363,0.985332557051578,1.56104089506236,27.4837317289325,53.9889964300214,35.7011395789976,0.970127217200706,5,"hier",1,"all","prey205"
"2","10yrs10ages",0.765811149816547,5.66293818251484,0.997643321193444,0.63000827758257,64.7046073390748,114.061358586697,45.7476981864831,0.984366470503291,10,"hier",1,"all","prey1010"
"3","20yrs5ages",0.990501783656346,1.04298975271789,0.997636168945499,0.554367065676746,67.0116237580561,119.993114676235,27.4363081420585,0.997889458606826,20,"hier",1,"all","prey520"
"4","25yrs4ages",0.998677667999746,0.367342486015864,0.998978046409707,0.388050807339171,132.094092131661,179.706902060486,15.4382197792704,0.99977548375417,25,"hier",1,"all","prey425"
"5","5yrs20ages",-0.430832315704267,14.4493459414777,0.985171934261331,1.56789427853186,28.3290027392675,54.9975690649025,36.3311118571065,0.969273067573368,5,"hier",2,"all","prey205"
"6","10yrs10ages",0.760215301696895,5.73378330458712,0.997652570898946,0.630186914199497,64.010851976669,113.455518206697,46.0430837009939,0.983579064369275,10,"hier",2,"all","prey1010"
"7","20yrs5ages",0.989575696692795,1.09060166820578,0.997675916626501,0.54998454945911,66.8552580690316,119.981260399794,27.4963326995975,0.997915950514175,20,"hier",2,"all","prey520"
"8","25yrs4ages",0.998714938045848,0.362402570152542,0.999001901222121,0.383599587931946,131.068665183906,179.469912645641,15.9898440197551,0.999772309226582,25,"hier",2,"all","prey425"
"9","5yrs20ages",-0.409698829700999,14.3091386321977,0.985559124370813,1.54973313265379,27.630567717369,54.4516275900855,35.8218378742754,0.970122102898821,5,"hier",3,"all","prey205"
"10","10yrs10ages",0.767801434180509,5.62964257124956,0.997640067399851,0.628589334182515,64.3549010567685,113.746292008976,45.9015314922147,0.983871186066529,10,"hier",3,"all","prey1010"
"11","20yrs5ages",0.991421333346787,0.991316847103098,0.997626699633562,0.554855755273117,67.0828976188177,119.998478805867,27.4134375681338,0.997860933125566,20,"hier",3,"all","prey520"
"12","25yrs4ages",0.998612500945178,0.375184208666023,0.998930798574242,0.396663332688808,132.618404964521,179.696009947769,15.1519259105746,0.999766540087379,25,"hier",3,"all","prey425"
"13","5yrs20ages",-0.418046834955004,14.3278109021926,0.985793677987078,1.55274827298284,27.905639390532,55.0250198677484,35.7401222778963,0.970039756390115,5,"hier",4,"all","prey205"
