"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","model","tslength","approach","maxE","iter"
"1","5yrs20ages",1.27329842905792,0.519205485827029,0.01,1.28510968416746,0.98892843165125,NA,NA,NA,"prey205",5,"hier",2,1
"2","10yrs10ages",0.0197618884648556,0,0.01,2.65426801347429,0.991617820250418,0.237610981025347,NA,NA,"prey1010",10,"hier",3,1
"3","20yrs5ages",0.0317466821941219,0.0369815767451676,0.01,2.64521303865885,0.997741657175781,2.40741236324407e-238,0.033365223628711,NA,"prey520",20,"hier",4,1
"4","25yrs4ages",0.0148849478246664,0.0337999167873184,0.01,3.00529067361479,0.996997464613589,0,0.0262735730126161,0.00744915991212295,"prey425",25,"hier",5,1
"5","5yrs20ages",8.61118602465908e-121,2.28244142239043e-10,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,1
"6","10yrs10ages",0.0369251509532541,0,NA,NA,NA,0.0920164015470376,NA,NA,"prey1010",10,"TAindex",3,1
"7","20yrs5ages",1.00105094768477e-46,0.0947263886032543,NA,NA,NA,0.052083305699294,0.037211496147855,NA,"prey520",20,"TAindex",4,1
"8","25yrs4ages",0.0713111453156084,0.0686339033262764,NA,NA,NA,0.0920919645981144,4.57912542695457e-14,0,"prey425",25,"TAindex",5,1
"9","5yrs20ages",0.673261717223979,0.305710658008452,0.0897276101812617,0.925672740873316,0.984440440525317,NA,NA,NA,"prey205",5,"hier",2,2
"10","10yrs10ages",0.207244887135399,0.210343533951708,0.0387721877170366,1.18373911358635,0.995665035917227,0.616374074939524,NA,NA,"prey1010",10,"hier",3,2
"11","20yrs5ages",0.112050372402291,0.130821932460026,0.01,1.84666256878176,0.99781419001341,0.528338354901412,1.01111963235843,NA,"prey520",20,"hier",4,2
"12","25yrs4ages",0.519781224920223,0.0109682129565779,0.01,1.06592763987776,0.999015825142269,0.279831299760126,0.689815473315274,0.169363202050031,"prey425",25,"hier",5,2
"13","5yrs20ages",0.082497446105237,1.98545679580908e-142,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,2
"14","10yrs10ages",0.0370302435390581,9.80542730210157e-76,NA,NA,NA,0.160163641632904,NA,NA,"prey1010",10,"TAindex",3,2
"15","20yrs5ages",0.063809455316632,0,NA,NA,NA,0.22417644751767,0,NA,"prey520",20,"TAindex",4,2
"16","25yrs4ages",0.0783962429360592,0.264828667240465,NA,NA,NA,0.0989431700823029,0,0,"prey425",25,"TAindex",5,2
"17","5yrs20ages",1.3514606033989,2.94560121873934,0.0129676604397705,2.07745856452895,0.990194947458613,NA,NA,NA,"prey205",5,"hier",2,3
"18","10yrs10ages",0.0496272175826413,0.0251457605526822,0.01,2.51093318539704,0.987197540455377,0.37805427862273,NA,NA,"prey1010",10,"hier",3,3
"19","20yrs5ages",0.0474614877832801,0.110231440038776,0.01,2.08459680258793,0.996266095457054,9.23109456429526e-16,0.0520455322276848,NA,"prey520",20,"hier",4,3
"20","25yrs4ages",0.0421353484796439,0.170689804590164,0.01,1.81144992819462,0.998848394794119,1.72031671050191e-185,0.0592824759099908,1.73768835521962e-186,"prey425",25,"hier",5,3
"21","5yrs20ages",0.0730202893771087,0,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,3
"22","10yrs10ages",0.0499301915569867,0,NA,NA,NA,0.167069756231158,NA,NA,"prey1010",10,"TAindex",3,3
"23","20yrs5ages",3.32232308712775e-162,0.117690266386729,NA,NA,NA,0.0547615037396379,0.0405144577512722,NA,"prey520",20,"TAindex",4,3
"24","25yrs4ages",0,0.103641738655822,NA,NA,NA,0.0855402488868189,0.0238931580884493,0.0254747971386601,"prey425",25,"TAindex",5,3
"25","5yrs20ages",0.874363368781396,0.466951504705474,0.029270423286856,1.45637821005015,0.980442450563802,NA,NA,NA,"prey205",5,"hier",2,4
"26","10yrs10ages",0.0235856657958435,0.0156139033388939,0.01,3.52530345204293,0.995578456693881,0.158288761549667,NA,NA,"prey1010",10,"hier",3,4
"27","20yrs5ages",0.02670191366696,0.078355500810402,0.01,2.0465810034748,0.997464755407832,7.78296999064112e-10,0.0749698676096622,NA,"prey520",20,"hier",4,4
"28","25yrs4ages",0.0268086854128935,0.0805536806104929,0.01,1.865753960336,0.998648928556099,1.48947212798289e-08,0.0661973152991584,0.00777832496529301,"prey425",25,"hier",5,4
"29","5yrs20ages",0.100849006213618,4.64329622959346e-260,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,4
"30","10yrs10ages",0.0571970667069696,0,NA,NA,NA,0.110030907865991,NA,NA,"prey1010",10,"TAindex",3,4
"31","20yrs5ages",4.92334043181632e-62,0.104682607344921,NA,NA,NA,1.320244636598e-61,0.0754175061993279,NA,"prey520",20,"TAindex",4,4
"32","25yrs4ages",0.150549942912347,0.108197973670349,NA,NA,NA,4.6381211106002e-07,0.00937242028705244,4.59775138097311e-249,"prey425",25,"TAindex",5,4
"33","5yrs20ages",1.30670649998989,5.4032974393185,0.01,3.91389600552296,0.999827136871349,NA,NA,NA,"prey205",5,"hier",2,5
"34","10yrs10ages",0.57427041383984,0.346893447185087,0.01,1.17346329569174,0.999108951054868,0.344454259545583,NA,NA,"prey1010",10,"hier",3,5
"35","20yrs5ages",0.149621872525626,0.119490669262715,0.01,1.81425815884069,0.997270109101009,0,0.0287004740294921,NA,"prey520",20,"hier",4,5
"36","25yrs4ages",0.0441661370325045,0.110403434401195,0.01,2.44428865936986,0.996768264544562,0.00611111602688309,0.0181675920867186,0.012458861766884,"prey425",25,"hier",5,5
"37","5yrs20ages",1.56609210966118e-78,0.256062191100601,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,5
"38","10yrs10ages",0.0548859025400349,0,NA,NA,NA,0.18620313528132,NA,NA,"prey1010",10,"TAindex",3,5
"39","20yrs5ages",0.0174358091573844,8.95575689687982e-282,NA,NA,NA,0.027817111460211,0.195205688598373,NA,"prey520",20,"TAindex",4,5
"40","25yrs4ages",2.14331475772012e-37,0.362579559464527,NA,NA,NA,1.83023308040969e-186,0.255028030744227,0,"prey425",25,"TAindex",5,5
"41","5yrs20ages",0.812622521179677,0.703349421599696,0.01,1.2781113940017,0.972575802579111,NA,NA,NA,"prey205",5,"hier",2,6
"42","10yrs10ages",0.0208602544944042,2.51369650137174e-308,0.01,3.61469782408135,0.997159294767378,0.390011402299443,NA,NA,"prey1010",10,"hier",3,6
"43","20yrs5ages",0.0389979112210268,0.0587562772724436,0.01,2.62184656284028,0.997565399404832,1.25979680706037e-99,0.12632370948245,NA,"prey520",20,"hier",4,6
"44","25yrs4ages",0.0572394244272161,0.0248622674339172,0.01,2.50369193194768,0.997856078968634,0.0179957754016963,1.14325351148341e-83,0.0369708758199004,"prey425",25,"hier",5,6
"45","5yrs20ages",4.13613436438379e-46,4.29307306631074e-09,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,6
"46","10yrs10ages",0.076232496506831,0,NA,NA,NA,0.127975355071665,NA,NA,"prey1010",10,"TAindex",3,6
"47","20yrs5ages",0.173564138852914,0.103614241192435,NA,NA,NA,1.72734147532588e-303,1.72734147532588e-303,NA,"prey520",20,"TAindex",4,6
"48","25yrs4ages",0.207181940297171,0.076876317947562,NA,NA,NA,0.0016155153898044,2.40741236324407e-238,2.40741236324407e-238,"prey425",25,"TAindex",5,6
"49","5yrs20ages",0.776846428837491,1.00249168032781,0.0982221295400522,0.959290212217981,0.984923026748294,NA,NA,NA,"prey205",5,"hier",2,7
"50","10yrs10ages",0.0157051993224112,0.0093379062758302,0.01,3.00250536617058,0.980202240734595,0.588957439167392,NA,NA,"prey1010",10,"hier",3,7
"51","20yrs5ages",0.0155187811970159,0.0997050927781615,0.01,1.62275148340573,0.99068995789491,0,0.11703054776184,NA,"prey520",20,"hier",4,7
"52","25yrs4ages",0.00897914619986282,0.133813314119723,0.01,1.61578147201001,0.991379743847553,0,0.10845213497466,0,"prey425",25,"hier",5,7
"53","5yrs20ages",0.115986973265835,0.0885390482213042,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,7
"54","10yrs10ages",0.0414058247805829,1.03188439972113e-87,NA,NA,NA,0.116525775963976,NA,NA,"prey1010",10,"TAindex",3,7
"55","20yrs5ages",0.119472498673556,1.58425729978968e-147,NA,NA,NA,0.221976925482048,0,NA,"prey520",20,"TAindex",4,7
"56","25yrs4ages",0.15575229787377,2.64693184734095e-105,NA,NA,NA,0.271344582416953,0,0,"prey425",25,"TAindex",5,7
"57","5yrs20ages",2.52130540488681,3.41975921134233,0.01,2.1785648725229,0.99959782275978,NA,NA,NA,"prey205",5,"hier",2,8
"58","10yrs10ages",0.0334606835748938,0.0386907173741995,0.01,3.16350931649443,0.994174549670392,0.187272205296236,NA,NA,"prey1010",10,"hier",3,8
"59","20yrs5ages",0.0573922044373392,0.0750858779306645,0.01,2.40331752721731,0.99651237224368,5.91882265698661e-227,0.0194994413688571,NA,"prey520",20,"hier",4,8
"60","25yrs4ages",0.0617798382606079,0.0977947198695024,0.01,2.09814657835311,0.998070556958898,9.6176312614554e-44,0.029912546886408,3.58122240052379e-10,"prey425",25,"hier",5,8
"61","5yrs20ages",0.127885176392457,9.15036277470718e-26,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,8
"62","10yrs10ages",0.0414806331010335,0,NA,NA,NA,0.13235796852224,NA,NA,"prey1010",10,"TAindex",3,8
"63","20yrs5ages",6.10446093560491e-37,0.116591644584003,NA,NA,NA,0.0454656280709896,0.063589573359536,NA,"prey520",20,"TAindex",4,8
"64","25yrs4ages",0,0.151283439073345,NA,NA,NA,0.0126923743386201,0.133095854611615,2.47372031906269e-06,"prey425",25,"TAindex",5,8
"65","5yrs20ages",1.2534236742583,0.293055527910995,0.0415147778379366,1.58339496838183,0.983723165439556,NA,NA,NA,"prey205",5,"hier",2,9
"66","10yrs10ages",0.225645097138954,0.689034583414484,0.01,3.00693279574569,0.999229192975488,0,NA,NA,"prey1010",10,"hier",3,9
"67","20yrs5ages",0.0702238324211477,0.0764013551999335,0.01,2.44391586721812,0.998695502815426,0,0.19829586169242,NA,"prey520",20,"hier",4,9
