"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model"
"1","N_total",0.999789678576525,0.0122455832174233,0.99982288207888,0.00959036125096662,164.627360031954,201.067033323937,9.65223437475553,0.499999826518018,100,"TAindex",1,"all","preyNT"
"2","5yrs20ages",-1.06770176787103,17.5268723707078,0.986944799127568,1.44342020086374,19.142909419615,46.4141729637181,22.4752004346403,0.993355873511976,5,"hier",1,"all","prey205"
"3","10yrs10ages",0.556122590626735,7.78499460917438,0.99809422582093,0.567951821961291,46.4040228437653,91.9551714542861,44.4446614451514,0.975203296226487,10,"hier",1,"all","prey1010"
"4","20yrs5ages",0.951159825036088,2.35698362746215,0.997217807963992,0.579336893284962,43.8411804771348,87.5819981822226,34.6184205071202,0.974632988553924,20,"hier",1,"all","prey520"
"5","25yrs4ages",0.997912584035765,0.397729283183594,0.998609525289744,0.462231104130433,119.753710018922,167.912953435473,16.7633329299721,0.999678043554633,25,"hier",1,"all","prey425"
"6","N_total",0.999816660385833,0.0114609819195386,0.999845156019398,0.00897285833093622,164.852443480636,201.282574067988,9.50534386641271,0.499999826518018,100,"TAindex",2,"all","preyNT"
"7","5yrs20ages",-1.06717365633718,17.5230281990221,0.986987060247532,1.44468933485008,19.3133023677217,47.1912362484615,22.9760398393641,0.993405450616943,5,"hier",2,"all","prey205"
"8","10yrs10ages",0.563514583133014,7.71436652138987,0.998105957739211,0.56522910940304,46.6966287992565,92.2541113678875,44.3276637253355,0.975380242187458,10,"hier",2,"all","prey1010"
"9","20yrs5ages",0.957335743435785,2.2070689261092,0.997300887834095,0.570220124633458,43.9420767770524,87.35230996825,34.8664604471158,0.974199477073381,20,"hier",2,"all","prey520"
"10","25yrs4ages",0.997131907961013,0.466272843576984,0.997854695823217,0.574429497573442,120.764166744889,165.244256199247,15.623089962334,0.999549097153681,25,"hier",2,"all","prey425"
"11","N_total",0.999880572821092,0.00940562622042853,0.999833842845865,0.00929712658792446,164.725170077939,201.163891346151,9.58988080123503,0.500000076493016,100,"TAindex",3,"all","preyNT"
"12","5yrs20ages",-1.02406144110055,17.0921220620107,0.989196526981414,1.36864058707829,18.944818757594,48.6424362356815,22.8849885609578,0.993586968421189,5,"hier",3,"all","prey205"
"13","10yrs10ages",0.531348601346931,7.9542593943414,0.998003143498217,0.583587866029434,41.8521580811956,86.5984798920331,46.5372089017964,0.972661010054949,10,"hier",3,"all","prey1010"
"14","20yrs5ages",0.878709709612606,3.77047592507495,0.996720697926317,0.613289254142231,57.8193999708659,101.825550588208,29.8192264812627,0.982646522118229,20,"hier",3,"all","prey520"
"15","25yrs4ages",0.99302906600223,0.824853295981649,0.998673549109311,0.440480289156603,124.58652478386,170.11932419431,14.4810006791143,0.999775316823281,25,"hier",3,"all","prey425"
"16","N_total",0.99985320417954,0.0103553390071001,0.999824987673639,0.00954030860124771,164.615159838197,201.074406177597,9.65245193837306,0.499999826518018,100,"TAindex",4,"all","preyNT"
"17","5yrs20ages",-1.09754949263257,17.6011957676295,0.987229598100566,1.45728552926643,19.2872407535871,46.571643288025,22.4538880383371,0.993638941858957,5,"hier",4,"all","prey205"
"18","10yrs10ages",0.570956426214467,7.55602443613973,0.99765920413022,0.613246080033298,42.5854059901048,87.009117144677,45.5648694991965,0.971482058298007,10,"hier",4,"all","prey1010"
"19","20yrs5ages",0.957157638838336,2.23400281595807,0.998025466618377,0.484163250695005,41.1118254563806,86.3128510612461,36.9340162243922,0.954603870437959,20,"hier",4,"all","prey520"
"20","25yrs4ages",0.992941960707541,0.724831633324684,0.998087240856391,0.544567956944762,122.518796746431,167.086179261912,14.9778139322654,0.999653007919599,25,"hier",4,"all","prey425"
"21","N_total",0.999823265985632,0.0112556185528353,0.999848777230311,0.008865263738017,164.890485556554,201.315851586325,9.48317735160339,0.499999826518018,100,"TAindex",5,"all","preyNT"
"22","5yrs20ages",-1.06696531220729,17.5042377328085,0.987130206275227,1.43526476436713,19.2710235590287,47.1784198804622,23.2280563793717,0.993240970423353,5,"hier",5,"all","prey205"
"23","10yrs10ages",0.566687778928963,7.6797305493639,0.998116276169124,0.563244287912113,46.9071153230804,92.4747033998391,44.2376882043415,0.97541145205384,10,"hier",5,"all","prey1010"
"24","20yrs5ages",0.956334216263542,2.23088849834084,0.997284880230358,0.571333730562087,44.1395815376957,87.3344472401618,34.8211023620467,0.974794495655614,20,"hier",5,"all","prey520"
"25","25yrs4ages",0.997182636864297,0.461804190331953,0.997894587919815,0.568492976125501,120.909092193003,165.398599496335,15.64392565127,0.999555958463783,25,"hier",5,"all","prey425"
"26","N_total",0.999815639317789,0.0114897561325754,0.999843357638252,0.00902182461339529,164.836564061341,201.263860408345,9.51830053048753,0.500000076493016,100,"TAindex",6,"all","preyNT"
"27","5yrs20ages",-1.06633836143568,17.503710527682,0.987034506855102,1.44001561709012,19.2280929378917,47.0038554353498,23.0268423900832,0.993292594061303,5,"hier",6,"all","prey205"
"28","10yrs10ages",0.56493768874406,7.69704477978147,0.998114136905763,0.563815351659989,46.841232655279,92.4081275273023,44.2659231057845,0.975383546933431,10,"hier",6,"all","prey1010"
"29","20yrs5ages",0.955348064499516,2.25527969673074,0.997268867838629,0.573153383381158,44.1085920192053,87.3733705606585,34.7761538234216,0.974831532999606,20,"hier",6,"all","prey520"
"30","25yrs4ages",0.997187642338801,0.461425305846134,0.997839468257268,0.575878742835524,120.642029495184,165.133794707091,15.6534381360823,0.99955358078391,25,"hier",6,"all","prey425"
"31","N_total",0.999823514707493,0.0112434861943199,0.999849690261247,0.00883614687706401,164.901037573539,201.330724672394,9.46866360720181,0.500000076493016,100,"TAindex",7,"all","preyNT"
"32","5yrs20ages",-1.06771712472448,17.499831089148,0.987026474651054,1.441086448916,19.3781761467482,47.3539204989859,23.0653463248793,0.993414107756163,5,"hier",7,"all","prey205"
"33","10yrs10ages",0.564392960701434,7.69445143380841,0.998105046202746,0.564338079777393,46.7088940093825,92.2690987452011,44.32439243837,0.975418510377729,10,"hier",7,"all","prey1010"
"34","20yrs5ages",0.958429884642713,2.17603109966455,0.997314730249627,0.56787913305224,43.9053527593644,87.3209204713972,34.9099539743553,0.974050945843075,20,"hier",7,"all","prey520"
"35","25yrs4ages",0.997100177948381,0.468155788373456,0.997892521209386,0.568589653617918,120.979125452465,165.460615352068,15.5836834366595,0.999549413455053,25,"hier",7,"all","prey425"
"36","N_total",0.999804055724033,0.0118365174577904,0.999834540611006,0.00927313075674253,164.723592493214,201.153937403153,9.61562295136284,0.499999826518018,100,"TAindex",8,"all","preyNT"
"37","5yrs20ages",-1.06523363242684,17.5142227206973,0.986948480325815,1.44419082601809,19.0871706434557,46.5648975373982,22.7700254012496,0.993267104862937,5,"hier",8,"all","prey205"
"38","10yrs10ages",0.562633811046682,7.72692228407099,0.998114881390914,0.564721134934561,46.8009970726675,92.3698185736721,44.2795434825516,0.975320542395391,10,"hier",8,"all","prey1010"
"39","20yrs5ages",0.95181018199362,2.34288790763175,0.997214489114216,0.579497654454511,44.1678373647213,87.4650127195991,34.6217153806836,0.975403597294955,20,"hier",8,"all","prey520"
"40","25yrs4ages",0.997413358621688,0.442925673550751,0.999030431122318,0.385990984840967,121.93834499842,170.979926847062,15.1809103919652,0.999796500987435,25,"hier",8,"all","prey425"
"41","N_total",0.999817591798635,0.0114283606616054,0.999844980627617,0.00897410775888366,164.854307451632,201.282025616448,9.50424836162962,0.500000076493016,100,"TAindex",9,"all","preyNT"
"42","5yrs20ages",-1.06680083896079,17.5014923895328,0.987016387159923,1.44113727623243,19.2837642399914,47.1209657495435,23.0098047957085,0.993352252689124,5,"hier",9,"all","prey205"
"43","10yrs10ages",0.564463345124217,7.69826975790826,0.998110049152406,0.564108886975067,46.7766185529593,92.3423610184373,44.2933203528239,0.975409999746044,10,"hier",9,"all","prey1010"
"44","20yrs5ages",0.9565002912485,2.22579741237785,0.997286397018522,0.571134182926936,44.0194216743105,87.3586949485936,34.8270665703335,0.974488650546706,20,"hier",9,"all","prey520"
"45","25yrs4ages",0.997161481117455,0.463399445203999,0.997854684944389,0.573755344762341,120.737087560912,165.225499005207,15.6364772979103,0.999551176168718,25,"hier",9,"all","prey425"
"46","N_total",0.99989874595108,0.00857571160309977,0.999882832305038,0.00780699509710096,165.207563736256,201.671113145684,9.21517124114571,0.500000076493016,100,"TAindex",10,"all","preyNT"
"47","5yrs20ages",-1.0894628116466,17.5637942912308,0.987586600884323,1.42779626648422,19.9047057929035,48.6662463915724,23.9464632114747,0.993468477620156,5,"hier",10,"all","prey205"
"48","10yrs10ages",0.571129150062318,7.57754648999543,0.997925858822246,0.58147275484675,44.8383122478714,90.0630970825228,44.9722013130958,0.974270804301639,10,"hier",10,"all","prey1010"
"49","20yrs5ages",0.966143215232273,1.97760743036865,0.997821282795736,0.509036981834338,42.0965817863134,86.7667341696963,36.3597720815738,0.963014297042622,20,"hier",10,"all","prey520"
"50","25yrs4ages",0.994808248007732,0.62332621431334,0.998393312824898,0.497709047674053,123.82488829251,168.390471890358,15.1052417186855,0.999580358118268,25,"hier",10,"all","prey425"
"51","N_total",0.999867098469555,0.00992970929577299,0.999821453422209,0.0096372533056637,164.591379656503,201.042719761966,9.67343293533413,0.499999826518018,100,"TAindex",11,"all","preyNT"
"52","5yrs20ages",-1.0279368671001,17.1149410443667,0.989163722105363,1.37209799882225,18.9476742937543,48.3196397233011,22.5648463388534,0.993703706028833,5,"hier",11,"all","prey205"
"53","10yrs10ages",0.529552539106992,7.97098565191639,0.997937861713537,0.592812804296819,41.1741716847476,85.6883535119248,46.7204415438777,0.971558821071362,10,"hier",11,"all","prey1010"
