"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"1","N_total",0.116724815944156,0.289570592770681,5.9847712812905e-48,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,0.01,2.93359364898863,0.499999826518018,100,"TAindex",10,1
"2","5yrs20ages",1.74037569858416,0.476767771568607,NA,NA,NA,NA,NA,NA,NA,NA,0.047259095904654,1.50644477781185,0.993355873511976,5,"hier",2,1
"3","10yrs10ages",0.748793333104548,0.108152002770982,0.11610641470928,NA,NA,NA,NA,NA,NA,NA,0.01,2.12638335131428,0.975203296226487,10,"hier",3,1
"4","20yrs5ages",0.386954315762372,0.00114307174836041,0.0253151639932827,0.531083195428141,NA,NA,NA,NA,NA,NA,0.01,2.22478191865443,0.974632988553924,20,"hier",4,1
"5","25yrs4ages",0.575466086427435,0.0410953260213268,6.02252419816603e-77,0.0627552255894164,0,NA,NA,NA,NA,NA,0.01,2.47909461443947,0.999678043554633,25,"hier",5,1
"6","N_total",0.113615469158157,0.293840499899077,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,0.01,2.97053009712526,0.499999826518018,100,"TAindex",10,2
"7","5yrs20ages",1.73966635819116,0.45343875241714,NA,NA,NA,NA,NA,NA,NA,NA,0.0457684706959806,1.59445975461188,0.993405450616943,5,"hier",2,2
"8","10yrs10ages",0.736299450213228,0.10793448340743,0.115138278723399,NA,NA,NA,NA,NA,NA,NA,0.01,2.13322579817547,0.975380242187458,10,"hier",3,2
"9","20yrs5ages",0.379057992657346,0.0015416355768648,0.0266297652027986,0.583681157883366,NA,NA,NA,NA,NA,NA,0.01,2.09918490779319,0.974199477073381,20,"hier",4,2
"10","25yrs4ages",0.304228664347851,0.00455798346785259,0.00428351894053961,0.0637294189838366,8.23753801267166e-239,NA,NA,NA,NA,NA,0.01,3.07148800540013,0.999549097153681,25,"hier",5,2
"11","N_total",0.112427770644156,0.288253964079998,1.69868933439871e-28,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,0.01,2.97580243345222,0.500000076493016,100,"TAindex",10,3
"12","5yrs20ages",1.7227598471541,0.44294891875019,NA,NA,NA,NA,NA,NA,NA,NA,0.0459325564193087,1.61185014355808,0.993586968421189,5,"hier",2,3
"13","10yrs10ages",0.980297245407845,0.103780133049532,0.134024347801738,NA,NA,NA,NA,NA,NA,NA,0.01,1.90377639351987,0.972661010054949,10,"hier",3,3
"14","20yrs5ages",0.0434801968037671,0.00689823220195217,0.0310818661243848,1.14712393455469,NA,NA,NA,NA,NA,NA,0.01,1.19481058442348,0.982646522118229,20,"hier",4,3
"15","25yrs4ages",0.328077742415294,0.0546823178682142,1.51665662352706e-130,0,0.0315640503685132,NA,NA,NA,NA,NA,0.01,3.01039886742535,0.999775316823281,25,"hier",5,3
"16","N_total",0.115412003946703,0.289011809836205,5.29529199501781e-48,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,0.01,2.94954880883699,0.499999826518018,100,"TAindex",10,4
"17","5yrs20ages",1.72109479012987,0.45918711866751,NA,NA,NA,NA,NA,NA,NA,NA,0.0467681796535855,1.56810830473512,0.993638941858957,5,"hier",2,4
"18","10yrs10ages",0.855637875200897,0.0948310140249494,0.126926400933727,NA,NA,NA,NA,NA,NA,NA,0.01,2.0752067215983,0.971482058298007,10,"hier",3,4
"19","20yrs5ages",0.30318459642822,0.00137974274179468,0.0222410165385696,0.829446168113283,NA,NA,NA,NA,NA,NA,0.01,1.75226831490389,0.954603870437959,20,"hier",4,4
"20","25yrs4ages",0.291489829568416,0.00468381190232138,0.00254022532868857,0.0695367194291394,3.93188409446537e-178,NA,NA,NA,NA,NA,0.01,3.00286851968806,0.999653007919599,25,"hier",5,4
"21","N_total",0.112791183062271,0.293659422167205,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,3.35523367526795e-173,0.01,2.97864388205536,0.499999826518018,100,"TAindex",10,5
"22","5yrs20ages",1.74028958004626,0.457532090469675,NA,NA,NA,NA,NA,NA,NA,NA,0.0454777582172905,1.59973149430846,0.993240970423353,5,"hier",2,5
"23","10yrs10ages",0.723458852030306,0.107027699380031,0.11452296097887,NA,NA,NA,NA,NA,NA,NA,0.01,2.14128092821211,0.97541145205384,10,"hier",3,5
"24","20yrs5ages",0.379382816600894,0.00167855861297647,0.0273779805160175,0.590628803295368,NA,NA,NA,NA,NA,NA,0.01,2.07611113653122,0.974794495655614,20,"hier",4,5
"25","25yrs4ages",0.305556762736945,0.00498900724593945,0.00427312214465529,0.0662175475840995,7.28255450902369e-152,NA,NA,NA,NA,NA,0.01,3.03589008299738,0.999555958463783,25,"hier",5,5
"26","N_total",0.113290509943008,0.292741109182565,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,0.01,2.97241175478841,0.500000076493016,100,"TAindex",10,6
"27","5yrs20ages",1.73590753852839,0.455606348836863,NA,NA,NA,NA,NA,NA,NA,NA,0.0459609139694781,1.5872557619318,0.993292594061303,5,"hier",2,6
"28","10yrs10ages",0.726905705777899,0.107239789708284,0.114739907273927,NA,NA,NA,NA,NA,NA,NA,0.01,2.13879294601921,0.975383546933431,10,"hier",3,6
"29","20yrs5ages",0.380872519393695,0.00159218439935284,0.0270601440400105,0.57947570121613,NA,NA,NA,NA,NA,NA,0.01,2.10066406413154,0.974831532999606,20,"hier",4,6
"30","25yrs4ages",0.305800701690394,0.00483662572704279,0.00438272707711504,0.0639218209928158,1.3779296624932e-53,NA,NA,NA,NA,NA,0.01,3.06692691748154,0.99955358078391,25,"hier",5,6
"31","N_total",0.112712472385686,0.294715551196797,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,0.01,2.9861941107652,0.500000076493016,100,"TAindex",10,7
"32","5yrs20ages",1.74300532495814,0.454038550120475,NA,NA,NA,NA,NA,NA,NA,NA,0.045431297630014,1.6021640496507,0.993414107756163,5,"hier",2,7
"33","10yrs10ages",0.736656359127889,0.107926049937692,0.115069548640465,NA,NA,NA,NA,NA,NA,NA,0.01,2.13410732728424,0.975418510377729,10,"hier",3,7
"34","20yrs5ages",0.377185014255335,0.00156207961415923,0.0266239587989608,0.589405426242881,NA,NA,NA,NA,NA,NA,0.01,2.09313939420456,0.974050945843075,20,"hier",4,7
"35","25yrs4ages",0.303216111529003,0.00458135688225425,0.00417395073146382,0.0637044934693052,8.55984538432552e-295,NA,NA,NA,NA,NA,0.01,3.06520313614028,0.999549413455053,25,"hier",5,7
"36","N_total",0.11572872693022,0.292303162155943,4.82674997479968e-24,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,0.01,2.95175177234014,0.499999826518018,100,"TAindex",10,8
"37","5yrs20ages",1.7281511956454,0.457309302455765,NA,NA,NA,NA,NA,NA,NA,NA,0.0468576853356339,1.55818970821968,0.993267104862937,5,"hier",2,8
"38","10yrs10ages",0.726874780252849,0.107103194262685,0.114895562995183,NA,NA,NA,NA,NA,NA,NA,0.01,2.13900279870549,0.975320542395391,10,"hier",3,8
"39","20yrs5ages",0.384524440136736,0.00146102764460327,0.026703705952262,0.555611340142955,NA,NA,NA,NA,NA,NA,0.01,2.15487736731957,0.975403597294955,20,"hier",4,8
"40","25yrs4ages",0.592041912702524,0.213953664132755,0,0,1.01055650478148e-81,NA,NA,NA,NA,NA,0.01,3.07351732535381,0.999796500987435,25,"hier",5,8
"41","N_total",0.113330252916579,0.293381562210679,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,0.01,2.97109101320797,0.500000076493016,100,"TAindex",10,9
"42","5yrs20ages",1.73818176579306,0.454647099553602,NA,NA,NA,NA,NA,NA,NA,NA,0.0458184687040074,1.59136701535744,0.993352252689124,5,"hier",2,9
"43","10yrs10ages",0.731275442012781,0.107518904545956,0.114869259532795,NA,NA,NA,NA,NA,NA,NA,0.01,2.13813179784559,0.975409999746044,10,"hier",3,9
"44","20yrs5ages",0.37974020997609,0.00156896361635069,0.0268489027107763,0.582169864504714,NA,NA,NA,NA,NA,NA,0.01,2.0987887803864,0.974488650546706,20,"hier",4,9
"45","25yrs4ages",0.305396785323627,0.00483738361389771,0.00431187962099115,0.0641827397849467,7.39793395022848e-64,NA,NA,NA,NA,NA,0.01,3.05399089880726,0.999551176168718,25,"hier",5,9
"46","N_total",0.110537341598064,0.303665004535524,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,0.01,3.00204534127251,0.500000076493016,100,"TAindex",10,10
"47","5yrs20ages",1.75954721565387,0.463538550244267,NA,NA,NA,NA,NA,NA,NA,NA,0.0424767161059039,1.68442690328946,0.993468477620156,5,"hier",2,10
"48","10yrs10ages",0.816422814761148,0.105460172962226,0.119933476717954,NA,NA,NA,NA,NA,NA,NA,0.01,2.10023494397588,0.974270804301639,10,"hier",3,10
"49","20yrs5ages",0.324964365437492,0.00163763406910682,0.0240633467563338,0.758693721195789,NA,NA,NA,NA,NA,NA,0.01,1.84902701225213,0.963014297042622,20,"hier",4,10
"50","25yrs4ages",0.302956181930278,0.00409487067601858,0.00252145726320389,0.0693112240905371,0,NA,NA,NA,NA,NA,0.01,2.90494053265854,0.999580358118268,25,"hier",5,10
"51","N_total",0.114625691569497,0.286379805399497,5.29529199501781e-48,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,0.01,2.95709831124196,0.499999826518018,100,"TAindex",10,11
"52","5yrs20ages",1.73286118645205,0.456476507436034,NA,NA,NA,NA,NA,NA,NA,NA,0.0464656815785906,1.56864506287603,0.993703706028833,5,"hier",2,11
"53","10yrs10ages",0.98963736137784,0.0985885286056793,0.136703755642756,NA,NA,NA,NA,NA,NA,NA,0.01,1.89580553507021,0.971558821071362,10,"hier",3,11
"54","20yrs5ages",0.0437528141991132,0.00671480655257247,0.0303113840291742,1.15217492859418,NA,NA,NA,NA,NA,NA,0.01,1.20100284195455,0.982672928898109,20,"hier",4,11
"55","25yrs4ages",0.329184886334767,0.0534095731090386,1.01211086154934e-247,0,0.0322847012957935,NA,NA,NA,NA,NA,0.01,3.01417419974462,0.999777300912574,25,"hier",5,11
"56","N_total",0.113234181514009,0.314675813223515,1.54570159154274e-36,0,0,0,0,0,0,0,0.01,2.9798200238719,0.499999826518018,100,"TAindex",10,12
"57","5yrs20ages",1.76133424034796,0.43236579467393,NA,NA,NA,NA,NA,NA,NA,NA,0.0436211875504487,1.67736571270499,0.99429953126286,5,"hier",2,12
"58","10yrs10ages",0.813779081759988,0.105538439404935,0.120256856132724,NA,NA,NA,NA,NA,NA,NA,0.01,2.09854007783479,0.974253392047847,10,"hier",3,12
"59","20yrs5ages",0.34293114895137,0.00136079713645035,0.0235669137623366,0.702127691683219,NA,NA,NA,NA,NA,NA,0.01,1.93270065571201,0.964453589912972,20,"hier",4,12
"60","25yrs4ages",0.310950563595502,0.00325123613578914,0.00290253627259837,0.0683624205092245,2.22812675914051e-225,NA,NA,NA,NA,NA,0.01,2.94776886634166,0.999535985474651,25,"hier",5,12
