"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model"
"1","N_total",0.999759376067732,0.0133936955625235,0.999701746829386,0.0162252267578071,165.488310235055,199.631683487034,11.3241434305444,0.499999826518018,100,"TAindex",1,"all","preyNT"
"2","5yrs20ages",0.878788840981819,1.9420387676502,0.988305416779507,0.645070705399227,4.63695389231331,27.1221291619186,20.7048013626117,0.979117156713964,5,"hier",1,"all","prey205"
"3","10yrs10ages",0.994311502755693,0.260895418616037,0.998530832982853,0.132902308387859,62.7603858596918,111.270678815015,39.6722173048789,0.983433874265615,10,"hier",1,"all","prey1010"
"4","20yrs5ages",0.994817097820248,0.217177958007699,0.998145467100106,0.115195891463386,73.0113055020452,115.88016449475,21.2804383238232,0.998559881384146,20,"hier",1,"all","prey520"
"5","25yrs4ages",0.998063774621104,0.123525194108171,0.998820377421789,0.0937582208164769,112.469469589508,161.141159301791,25.5065680120804,0.989247683758105,25,"hier",1,"all","prey425"
"6","N_total",0.999564596229208,0.0186353561172094,0.999696937087962,0.01635046044185,165.444424619506,199.598517435208,11.3276832606871,0.499999826518018,100,"TAindex",2,"all","preyNT"
"7","5yrs20ages",0.886369697142089,1.90806887597687,0.987235962845046,0.654984010621718,3.70130899657764,25.1135849980134,21.3848762602632,0.972496691658266,5,"hier",2,"all","prey205"
"8","10yrs10ages",0.992718857151501,0.296474682507361,0.998666959458874,0.127846950682098,61.963037942472,113.283258293815,39.0515569094925,0.987070325507148,10,"hier",2,"all","prey1010"
"9","20yrs5ages",0.990469737093249,0.282214041781355,0.998670365533227,0.0982529500334951,78.1610866851745,120.139690663552,18.7506169115269,0.998837047957715,20,"hier",2,"all","prey520"
"10","25yrs4ages",0.99862560007933,0.107790250828202,0.998757000757787,0.0949054923553381,111.92779965661,160.640576567378,25.6553647889763,0.991392427670407,25,"hier",2,"all","prey425"
"11","N_total",0.999753742987878,0.0139118580052446,0.999694705720308,0.0163625899846421,165.519997143076,199.617390192595,11.2784754664812,0.499999826518018,100,"TAindex",3,"all","preyNT"
"12","5yrs20ages",0.884215581602154,1.9194291741958,0.985735578852891,0.693909578984493,2.53632989021903,23.5042192657207,19.8564261689468,0.975170907183371,5,"hier",3,"all","prey205"
"13","10yrs10ages",0.992253268025263,0.303109135808726,0.998556766542787,0.132885854218769,63.6299303396826,113.106175447316,38.0886876776659,0.987035511309974,10,"hier",3,"all","prey1010"
"14","20yrs5ages",0.992435961662833,0.250965832489881,0.99815173094088,0.114617147787825,77.952966411961,119.262430695801,17.8142682183644,0.998877716025613,20,"hier",3,"all","prey520"
"15","25yrs4ages",0.990655199339855,0.279844696656034,0.997268952206288,0.139475425144363,114.414842325677,156.006892599995,21.0182138608656,0.992417144807966,25,"hier",3,"all","prey425"
"16","N_total",0.999768889639669,0.0132273208539454,0.999699692768229,0.0162079889769221,165.606049283909,199.674781375422,11.2294110055027,0.500000076493016,100,"TAindex",4,"all","preyNT"
"17","5yrs20ages",0.87837724857748,1.95723393661289,0.983983529071694,0.743730077926918,0.38828302512273,21.0327267887194,18.522976811661,0.976539359327652,5,"hier",4,"all","prey205"
"18","10yrs10ages",0.990423751172053,0.334735300264173,0.998644761701034,0.129223100563784,65.7094198956994,113.661783986288,38.5929186946666,0.984708906786414,10,"hier",4,"all","prey1010"
"19","20yrs5ages",0.99241511237078,0.254840863137673,0.997588942479644,0.129617416103886,74.6568896805812,115.084715653864,19.3333874476734,0.998580293431108,20,"hier",4,"all","prey520"
