"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"1","N_total",0.0928734092883997,4.64329622959346e-260,0.174345314673274,4.64329622959346e-260,2.27166477890432e-70,0.0346243295480388,2.27166477890432e-70,4.64329622959346e-260,4.64329622959346e-260,2.94108339848014e-14,0.01,1.60404795848275,0.499999826518018,100,"TAindex",10,1
"2","5yrs20ages",0.681146602799446,0.592545680210932,NA,NA,NA,NA,NA,NA,NA,NA,0.107872473013944,1.10927817234375,0.979117156713964,5,"hier",2,1
"3","10yrs10ages",0.0388110832257768,0.00181332600039224,0.718576104795625,NA,NA,NA,NA,NA,NA,NA,0.01,2.06516547283254,0.983433874265615,10,"hier",3,1
"4","20yrs5ages",0.310550311593617,0.0830495985425665,0.435959203335567,0.0794186694332499,NA,NA,NA,NA,NA,NA,0.01,0.749176266905491,0.998559881384146,20,"hier",4,1
"5","25yrs4ages",0.0107681891020405,0.0124447432861953,0.575966668961827,0.0584564735567802,0,NA,NA,NA,NA,NA,0.01,1.36564470989473,0.989247683758105,25,"hier",5,1
"6","N_total",0.0945625822229947,0,0.179801274319364,0,1.72252668775837e-140,0.0321543341363002,0,0,0,1.71415472429149e-26,0.01,1.59288649803084,0.499999826518018,100,"TAindex",10,2
"7","5yrs20ages",0.708721128679209,0.453128127870194,NA,NA,NA,NA,NA,NA,NA,NA,0.114060082421981,1.08170107986494,0.972496691658266,5,"hier",2,2
"8","10yrs10ages",0.0319383092948359,0.00123831648394594,0.554710228780793,NA,NA,NA,NA,NA,NA,NA,0.01,3.05608097262988,0.987070325507148,10,"hier",3,2
"9","20yrs5ages",0,0.0443823534624617,0.55408815146139,0.134466291261253,NA,NA,NA,NA,NA,NA,0.01,1.02738497273058,0.998837047957715,20,"hier",4,2
"10","25yrs4ages",0.00275070930620222,0.0417308804563059,0.528305298361632,0.0782912819722402,0,NA,NA,NA,NA,NA,0.01,1.29426758489333,0.991392427670407,25,"hier",5,2
"11","N_total",0.0939903056177672,4.64329622959346e-260,0.176422285137871,4.64329622959346e-260,2.27166477890432e-70,0.0327145254824209,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,4.23872475194712e-14,0.01,1.60566204925328,0.499999826518018,100,"TAindex",10,3
