"","time_step","age_class","Rsq","E","max_phi","rmse","num_phis","dy_rho","obs_SD","iter"
"1","15","V1",-0.3789,2,-Inf,13.9926,0,0.500000076493016,12.6626842259565,1
"2","15","V2",-1.4467,2,-Inf,17.6708,0,0.533413997270407,12.4168116728189,1
"3","15","V3",-2.2864,2,1,19.9563,1,0.527058247733832,12.3354962460586,1
"4","15","V4",-2.2753,2,1,20.0332,1,0.549663387405404,12.3039717136,1
"5","15","V5",-2.0119,2,1,19.6875,1,0.598401018514738,12.2989927602743,1
"6","15","V6",-1.6505,2,1,19.0891,1,0.663065081103147,12.3114081128265,1
"7","15","V7",-1.3028,2,1,18.3935,1,0.728349704870629,12.3356411460829,1
"8","15","V8",-1.0824,2,2,17.9854,2,0.927103492196857,12.3671591477164,1
"9","15","V9",-0.9451,2,2,17.7221,2,0.94988252373924,12.4016415739019,1
"10","15","V10",-0.9126,2,2,17.7318,2,0.960829640287682,12.4345860395981,1
"11","15","V11",-0.9925,2,2,18.045,2,0.96758466971928,12.4610445582158,1
"12","15","V12",-1.1995,2,2,18.6511,2,0.971963229243155,12.4712590204752,1
"13","15","V13",-1.2924,2,2,18.7593,2,0.969439036687821,12.4670881051198,1
"14","15","V14",-1.1653,2,2,18.0364,2,0.968943746909295,12.4583023093084,1
"15","15","V15",-1.0696,2,2,17.5432,2,0.967831462888427,12.443874326903,1
"16","15","V16",-1.0685,2,2,17.584,2,0.97345329566183,12.4261173384256,1
"17","15","V17",-1.1241,2,2,17.8148,2,0.962775188746459,12.4073086785383,1
"18","15","V18",-1.1722,2,2,18.0009,2,0.963653371175943,12.3897359950509,1
"19","15","V19",-1.1864,2,2,18.0801,2,0.966695074697977,12.3755016501002,1
"20","15","V20",-1.1637,2,2,18.0524,2,0.969662655195979,12.3663254197885,1
"21","16","V1",0.0528,2,1,10.8735,1,0.500000076493016,12.7706491196348,1
"22","16","V2",-0.9975,2,1,16.4322,1,0.704491295977397,12.5012420228399,1
"23","16","V3",-1.1777,2,2,16.8052,2,0.641506435322761,12.3677325072381,1
"24","16","V4",-1.5068,2,2,17.7247,2,0.72729336581033,12.2756222317204,1
"25","16","V5",-1.531,2,2,17.8666,2,0.810568708484792,12.2136571369679,1
"26","16","V6",-1.3275,2,2,17.4618,2,0.872369288899778,12.1818572170804,1
"27","16","V7",-1.0372,2,2,16.7949,2,0.911310194578984,12.1811278685191,1
"28","16","V8",-0.9418,2,2,16.8817,2,0.979592141985661,12.2105295867813,1
"29","16","V9",-0.7889,2,2,16.6191,2,0.985928584496785,12.2669942230784,1
"30","16","V10",-0.721,2,2,16.5967,2,0.989025296624038,12.3460627407462,1
"31","16","V11",-0.7716,2,2,16.9804,2,0.991673825624322,12.4430380904549,1
"32","16","V12",-0.9042,2,2,17.552,2,0.993247059862602,12.5466338712631,1
"33","16","V13",-1.0172,2,2,17.7816,2,0.992003333121974,12.5182454148761,1
"34","16","V14",-0.8942,2,2,16.9819,2,0.992518242316061,12.4905775646739,1
"35","16","V15",-0.819,2,2,16.466,2,0.99194420647578,12.4753599161623,1
"36","16","V16",-0.758,2,2,16.1044,2,0.99199286562854,12.4572453751251,1
"37","16","V17",-0.7627,2,2,16.1638,2,0.993627386495621,12.434479439931,1
"38","16","V18",-0.8383,2,2,16.5049,2,0.992491717198003,12.407025664403,1
"39","16","V19",-0.8807,2,2,16.6876,2,0.992860110217145,12.3778816985895,1
"40","16","V20",-0.8932,2,2,16.7703,2,0.993417098715243,12.3514297874223,1
"41","17","V1",-2.8977,3,-Inf,19.926,0,0.499999826518018,12.8122713591139,1
