"","time_step","age_class","Rsq","E","max_phi","rmse","num_phis","dy_rho","obs_SD","iter"
"1","15","V1",-2e-04,2,-Inf,4.2648,0,0.500000076493016,4.1322455618531,1
"2","15","V2",-0.579,2,1,5.3163,1,0.577253859685905,4.07638251647665,1
"3","15","V3",-0.8014,2,2,5.5723,2,0.575275056555816,4.04805333950826,1
"4","15","V4",-0.9388,2,1,5.7067,1,0.617844200795088,4.0208050519515,1
"5","15","V5",-0.9376,2,1,5.6794,1,0.680051914543947,3.99505515356326,1
"6","15","V6",-0.8402,2,1,5.5465,1,0.748249342348825,3.97567079525448,1
"7","15","V7",-0.6848,2,1,5.3399,1,0.806076010171563,3.9723164898805,1
"8","15","V8",-0.505,2,2,5.0854,2,0.855275428220595,4.00099147572752,1
"9","15","V9",-0.4353,2,2,4.9938,2,0.894362024542418,4.07834383045099,1
"10","15","V10",-0.547,2,1,5.1753,1,0.87977662914928,4.1684694011326,1
"11","15","V11",-0.6642,2,2,5.2858,2,0.895481627777964,4.20323443370211,1
"12","15","V12",-0.6494,2,2,5.15,2,0.898230366453189,4.19050064405423,1
"13","15","V13",-0.5417,2,2,4.9455,2,0.910566174267645,4.17615424289349,1
"14","15","V14",-0.4638,2,2,4.8643,2,0.923606570438143,4.17142466489234,1
"15","15","V15",-0.4467,2,2,4.8907,2,0.927643454306903,4.17126879954035,1
"16","15","V16",-0.5449,2,2,5.0998,2,0.921312523848111,4.17219031945619,1
"17","15","V17",-0.5439,2,2,5.139,2,0.927574943004222,4.17348899745539,1
"18","15","V18",-0.5107,2,2,5.1243,2,0.934775086232516,4.17605929004738,1
"19","15","V19",-0.5195,2,2,5.1823,2,0.983206679360067,4.18217356619754,1
"20","15","V20",-0.3729,2,2,4.9679,2,0.946466483860764,4.19637770380898,1
"21","16","V1",-0.3415,2,1,4.2262,1,0.500000076493016,4.00167843629547,1
"22","16","V2",-0.2702,2,1,4.5082,1,0.770871627501174,3.98619569410098,1
"23","16","V3",-0.436,2,1,4.9133,1,0.915206552688272,3.98238892462305,1
"24","16","V4",-0.4465,2,2,4.9299,2,0.895513889948039,3.96716510215034,1
"25","16","V5",-0.5159,2,2,5.0302,2,0.910059656168785,3.94545185729144,1
"26","16","V6",-0.4699,2,2,4.9538,2,0.922334347914924,3.92567866667998,1
"27","16","V7",-0.3206,2,2,4.7142,2,0.935239528993966,3.92015137585712,1
"28","16","V8",-0.1487,2,2,4.4262,2,0.946830944363109,3.9475540371996,1
"29","16","V9",-0.0313,2,2,4.2251,2,0.954087847088554,4.02890384069323,1
"30","16","V10",0.046,2,2,4.0852,2,0.958365023619748,4.13672543542558,1
"31","16","V11",0.0388,2,2,4.094,2,0.954619612486005,4.21202600396653,1
"32","16","V12",-0.2905,2,2,4.6763,2,0.968122563513293,4.23123713620085,1
"33","16","V13",-0.3672,2,2,4.7173,2,0.982412283939537,4.21430734912491,1
"34","16","V14",-0.32,2,2,4.6065,2,0.98621460980599,4.19791920071788,1
"35","16","V15",-0.311,2,2,4.6334,2,0.989682427714524,4.18966349193007,1
"36","16","V16",-0.3505,2,2,4.7568,2,0.99214614217771,4.18481365088916,1
"37","16","V17",-0.3988,2,2,4.8871,2,0.991092280754146,4.18073876624646,1
"38","16","V18",-0.5002,2,2,5.104,2,0.999115579141412,4.17769057660423,1
"39","16","V19",-0.4781,2,2,5.1091,2,0.999294914718633,4.17803717648723,1
"40","16","V20",-0.4385,2,2,5.0838,2,0.99941371575532,4.18679559624409,1
"41","17","V1",-4.828,3,-Inf,6.9493,0,0.499999826518018,3.94785303139215,1
"42","17","V2",-0.834,3,1,4.472,1,0.69531734567852,3.90300966417657,1
"43","17","V3",0.054,3,1,3.6029,1,0.909610174535671,3.90763800841331,1
"44","17","V4",-0.0961,3,3,4.0753,2,0.896170433967705,3.90379668698306,1
"45","17","V5",-0.2352,3,2,4.4027,2,0.945738259233378,3.88877565986341,1
"46","17","V6",-0.2265,3,2,4.4235,2,0.951380171939386,3.87125096610406,1
"47","17","V7",-0.0964,3,2,4.2133,2,0.958080845871363,3.86501049415377,1
"48","17","V8",0.063,3,2,3.9282,2,0.96477955994245,3.89007106068887,1
"49","17","V9",0.1796,3,2,3.7103,2,0.970586052384818,3.96915955809595,1
"50","17","V10",0.2628,3,2,3.5496,2,0.976874267811772,4.07969350458609,1
"51","17","V11",0.2938,3,2,3.4966,2,0.96563091502219,4.17097827506182,1
"52","17","V12",0.3181,3,2,3.4344,2,0.961589528658224,4.22663505132852,1
"53","17","V13",0.2343,3,2,3.5928,2,0.97130041534133,4.23913343486603,1
"54","17","V14",0.2216,3,2,3.5563,2,0.977438603203281,4.22185068323931,1
"55","17","V15",0.2442,3,2,3.4865,2,0.980897254113161,4.20414288499245,1
"56","17","V16",0.1909,3,2,3.6431,2,0.979693232348948,4.19254833951057,1
"57","17","V17",0.1412,3,2,3.7997,2,0.97651252515071,4.18360781534685,1
"58","17","V18",0.104,3,2,3.9218,2,0.97876890130264,4.17597421164768,1
"59","17","V19",0.0925,3,2,3.9841,2,0.978777708357271,4.17144284892528,1
"60","17","V20",0.1167,3,2,3.967,2,0.979351853635513,4.17501454728433,1
"61","18","V1",-3.3491,3,-Inf,7.0166,0,0.500000076493016,4.19437575313952,1
"62","18","V2",-0.3435,3,3,3.6292,2,0.676218184785457,4.01453882584147,1
"63","18","V3",0.4039,3,3,2.5683,2,0.847903656044929,3.94911936326399,1
"64","18","V4",0.2439,3,3,3.1629,2,0.934358441926337,3.92026458678927,1
"65","18","V5",0.0718,3,3,3.6827,2,0.944901063833565,3.89430569044919,1
"66","18","V6",0.0218,3,3,3.8678,2,0.880759112145524,3.86858167445299,1
"67","18","V7",0.0971,3,3,3.7647,3,0.895977651236343,3.85388478708288,1
"68","18","V8",0.2252,3,3,3.5251,3,0.911112314792956,3.86952465424803,1
"69","18","V9",0.3205,3,3,3.3365,3,0.929903241952374,3.93827931359788,1
"70","18","V10",0.3851,3,3,3.2081,3,0.947365186979845,4.04029430445751,1
"71","18","V11",0.4063,3,3,3.1839,3,0.965454444868,4.12999185228845,1
"72","18","V12",0.4635,3,3,3.048,3,0.949528670102846,4.19708251802684,1
"73","18","V13",0.4657,3,3,3.0422,3,0.963896201484938,4.24019633626891,1
"74","18","V14",0.4799,3,3,2.9669,3,0.973212769496199,4.24855684871065,1
"75","18","V15",0.4693,3,3,2.9464,3,0.97947151895556,4.23007934349542,1
"76","18","V16",0.4429,3,3,3.0059,3,0.983623151643542,4.20984462404562,1
"77","18","V17",0.318,3,3,3.3594,3,0.990708073877999,4.19439226793599,1
"78","18","V18",0.2696,3,3,3.5206,3,0.98735259891715,4.18178639529017,1
"79","18","V19",0.2304,3,3,3.654,3,0.989456322727601,4.1724245867715,1
"80","18","V20",0.1255,3,3,3.9339,3,0.995626868791877,4.17070338336536,1
"81","19","V1",-1.5097,3,-Inf,6.4602,0,0.499999826518018,4.40391314298938,1
"82","19","V2",0.6232,3,3,2.2964,2,0.791297114007546,4.24572901711797,1
"83","19","V3",0.8476,3,3,1.3578,3,0.927685016525201,4.10429667889527,1
"84","19","V4",0.6847,3,2,1.982,2,0.954037395114387,4.0177227484853,1
"85","19","V5",0.4785,3,2,2.6948,2,0.965581118408676,3.96250193959686,1
"86","19","V6",0.397,3,3,3.0087,2,0.979583818023876,3.91885733390619,1
"87","19","V7",0.388,3,3,3.0908,3,0.954623811233825,3.88911607696093,1
"88","19","V8",0.4821,3,3,2.8781,3,0.93237129132493,3.88956655145201,1
"89","19","V9",0.5484,3,3,2.7157,3,0.94299926865804,3.9420228991133,1
"90","19","V10",0.5919,3,3,2.608,3,0.955203908105901,4.02867181077514,1
"91","19","V11",0.641,3,3,2.4713,3,0.96544563782484,4.10723618166988,1
"92","19","V12",0.6611,3,3,2.4238,3,0.973902410709994,4.17027322094325,1
"93","19","V13",0.6844,3,3,2.3547,3,0.977637051130833,4.22148012612427,1
"94","19","V14",0.6948,3,3,2.3163,3,0.981266715037201,4.25588368673022,1
"95","19","V15",0.7062,3,3,2.2478,3,0.984366063608433,4.25999347207137,1
"96","19","V16",0.7035,3,3,2.2225,3,0.985545601413495,4.23911288608198,1
"97","19","V17",0.6883,3,3,2.2697,3,0.985399447951117,4.21571439823465,1
"98","19","V18",0.6332,3,3,2.4862,3,0.984730994759834,4.19677918766614,1
"99","19","V19",0.5528,3,3,2.7794,3,0.988030009039829,4.18225641175975,1
"100","19","V20",0.5385,3,3,2.8545,3,0.989944642901591,4.17523719019785,1
"101","20","V1",0.0937,3,3,4.1221,2,0.499999826518018,4.38375227727397,1
"102","20","V2",0.8839,3,3,1.4338,2,0.92642293408193,4.34233555994877,1
"103","20","V3",0.9599,3,3,0.791,3,0.965707337902461,4.25088050468092,1
"104","20","V4",0.964,3,2,0.7049,2,0.972361423116409,4.1307297081545,1
"105","20","V5",0.8508,3,3,1.4311,3,0.945753558496211,4.04031384184521,1
"106","20","V6",0.7144,3,3,2.0508,3,0.947731751294801,3.97660463755931,1
"107","20","V7",0.6897,3,3,2.1975,3,0.961267699906262,3.93263829150142,1
"108","20","V8",0.7331,3,3,2.0696,3,0.967373905724131,3.91904212830837,1
"109","20","V9",0.7667,3,3,1.9553,3,0.969697498517234,3.95569779033529,1
"110","20","V10",0.7891,3,3,1.8762,3,0.973280728472605,4.02653016590093,1
"111","20","V11",0.8109,3,3,1.7932,3,0.977271223133329,4.09194677551251,1
"112","20","V12",0.8047,3,3,1.8393,3,0.987385880139892,4.14551747361611,1
"113","20","V13",0.8112,3,3,1.8242,3,0.988890974009617,4.19314507118099,1
"114","20","V14",0.8174,3,3,1.805,3,0.99070770811982,4.23484320740143,1
"115","20","V15",0.8271,3,3,1.7569,3,0.991494061505655,4.26263315883705,1
"116","20","V16",0.835,3,3,1.6986,3,0.992374691987965,4.26273213985552,1
"117","20","V17",0.8247,3,3,1.7253,3,0.992208539680378,4.23944290542994,1
"118","20","V18",0.8117,3,3,1.7812,3,0.992225727363973,4.21367834939536,1
"119","20","V19",0.7748,3,3,1.9658,3,0.991482051922655,4.19342104597607,1
"120","20","V20",0.722,3,3,2.2105,3,0.992455610723907,4.18138013071866,1
"121","21","V1",0.5952,3,3,2.7548,2,0.499999826518018,4.28186836053757,1
"122","21","V2",0.9569,3,3,0.8993,2,0.983274923471349,4.28972405757375,1
"123","21","V3",0.9871,3,3,0.4819,3,0.993003279597305,4.28665288610747,1
"124","21","V4",0.9903,3,3,0.3995,3,0.991953537776804,4.21709601517794,1
"125","21","V5",0.9859,3,2,0.4576,2,0.984122420921497,4.11156597718673,1
"126","21","V6",0.92,3,2,1.0798,2,0.972659800181644,4.0256449654441,1
"127","21","V7",0.8882,3,3,1.3079,3,0.965797172692812,3.96813257453606,1
"128","21","V8",0.9057,3,3,1.2267,3,0.97509902319315,3.94353048158666,1
"129","21","V9",0.9168,3,3,1.1673,3,0.977752542999126,3.96764039807706,1
"130","21","V10",0.9183,3,2,1.1665,2,0.979133922705033,4.02516630697431,1
"131","21","V11",0.927,3,2,1.1125,2,0.982119478960837,4.07881373533777,1
"132","21","V12",0.9311,3,2,1.0896,2,0.983893723244306,4.12256592072744,1
"133","21","V13",0.893,3,3,1.37,3,0.992368676270016,4.16283959439579,1
"134","21","V14",0.8967,3,3,1.3575,3,0.993983921140246,4.2020841327919,1
"135","21","V15",0.904,3,3,1.3164,3,0.994334266253672,4.23716375018516,1
"136","21","V16",0.9092,3,3,1.28,3,0.994799982181905,4.25944581590741,1
"137","21","V17",0.9105,3,3,1.2588,3,0.995322213319334,4.25603602483793,1
"138","21","V18",0.9019,3,3,1.2996,3,0.995302663186684,4.23109821817188,1
"139","21","V19",0.8772,3,3,1.4489,3,0.994680984641046,4.20495781911672,1
"140","21","V20",0.8565,3,3,1.5801,3,0.993057676016635,4.18760601479609,1
"141","22","V1",0.8886,3,3,1.4092,2,0.499999826518018,4.18261154999075,1
"142","22","V2",0.9715,3,3,0.7219,2,0.989951932618711,4.19664248165587,1
"143","22","V3",0.9898,3,3,0.4328,3,0.997347325388106,4.22645070412421,1
"144","22","V4",0.9958,3,3,0.2747,3,0.998506743318375,4.22570994624355,1
"145","22","V5",0.9947,3,3,0.2971,3,0.997723185160773,4.16499764936589,1
"146","22","V6",0.9922,3,2,0.3451,2,0.990393087438025,4.07114842847065,1
"147","22","V7",0.9856,3,2,0.4651,2,0.989621396917876,3.99734946529364,1
"148","22","V8",0.9813,3,2,0.5399,2,0.987560662541106,3.96188817209478,1
"149","22","V9",0.9829,3,2,0.5256,2,0.989547964603464,3.97609157610076,1
"150","22","V10",0.9849,3,2,0.4995,2,0.990476559838978,4.02330370232805,1
"151","22","V11",0.9852,3,2,0.4989,2,0.991596764098523,4.06756028909442,1
"152","22","V12",0.986,3,2,0.4894,2,0.992160981025428,4.10293552555507,1
"153","22","V13",0.9664,3,3,0.7635,3,0.996684677229432,4.13571964379275,1
"154","22","V14",0.9649,3,3,0.7876,3,0.997374787185979,4.16920208339519,1
"155","22","V15",0.967,3,3,0.7698,3,0.9976696466357,4.20278179141755,1
"156","22","V16",0.9672,3,3,0.7714,3,0.997859311074677,4.23239769198572,1
"157","22","V17",0.9688,3,3,0.752,3,0.997986069704278,4.2499178561071,1
"158","22","V18",0.9656,3,3,0.7827,3,0.99821299413092,4.24383935379345,1
"159","22","V19",0.9529,3,3,0.9046,3,0.998175662247343,4.21894045980482,1
"160","22","V20",0.9298,3,3,1.1005,3,0.99812422678099,4.19622933551843,1
"161","23","V1",0.9559,4,3,0.8568,2,0.500000076493016,4.11571979282424,1
"162","23","V2",0.9537,4,4,0.8934,3,0.982140113139556,4.11797072157602,1
"163","23","V3",0.9832,4,4,0.5457,4,0.996600171580957,4.14777054065584,1
"164","23","V4",0.9937,4,3,0.3365,3,0.99879498570721,4.17077646796187,1
"165","23","V5",0.9912,4,2,0.3952,2,0.999088699813629,4.16523845770734,1
"166","23","V6",0.9944,4,3,0.3068,3,0.999138471862715,4.10975674969561,1
"167","23","V7",0.9783,4,4,0.5804,3,0.99681309774068,4.03036267330019,1
"168","23","V8",0.974,4,4,0.6303,3,0.998042307691645,3.98068395127275,1
"169","23","V9",0.9824,4,4,0.5263,3,0.997204507321409,3.98431155756853,1
"170","23","V10",0.9926,4,2,0.3453,2,0.996842227291645,4.0228669598491,1
"171","23","V11",0.9933,4,2,0.333,2,0.996734535594739,4.0598388662943,1
"172","23","V12",0.9922,4,2,0.3619,2,0.997252362903654,4.08861616188974,1
"173","23","V13",0.9918,4,2,0.3753,2,0.997648656754104,4.11497818034317,1
"174","23","V14",0.9936,4,3,0.3323,3,0.998492403991976,4.14237414583134,1
"175","23","V15",0.9939,4,3,0.3291,3,0.998676134820067,4.17125072018884,1
