"","iter","mean","sd","mean_dyrho","sd_dyrho","sim"
"1","1",0.475,0.5,0.475,0.00411075283546042,"I"
"2","2",0.475,0.5,0.475,0.00717547669546226,"I"
"3","3",0.475,0.5,0.475,0.00927462108329797,"I"
"4","4",0.475,0.5,0.475,0.00847559759959998,"I"
"5","5",0.475,0.5,0.475,0.00527400674933954,"I"
"6","6",0.475,0.5,0.475,0.00656251938053663,"I"
"7","7",0.475,0.5,0.475,0.00595560475304039,"I"
"8","8",0.475,0.5,0.475,0.00662002465777665,"I"
"9","9",0.475,0.5,0.475,0.00691143692370609,"I"
"10","10",0.475,0.5,0.475,0.00887896771211667,"I"
"11","11",0.475,0.5,0.475,0.00472404070332432,"I"
"12","12",0.475,0.5,0.475,0.00648887263034539,"I"
"13","13",0.475,0.5,0.475,0.00709644049761888,"I"
"14","14",0.475,0.5,0.475,0.00677465618945916,"I"
"15","15",0.475,0.5,0.475,0.00676554866817558,"I"
"16","16",0.475,0.5,0.475,0.0072297131212138,"I"
"17","17",0.475,0.5,0.475,0.00699549509331087,"I"
"18","18",0.475,0.5,0.475,0.00658633058445425,"I"
"19","19",0.475,0.5,0.475,0.00691216783982885,"I"
"20","20",0.475,0.5,0.475,0.00789449146621809,"I"
"21","21",0.475,0.5,0.475,0.00719978832730222,"I"
"22","22",0.475,0.5,0.475,0.00927642936414801,"I"
"23","23",0.475,0.5,0.475,0.00705295864687091,"I"
"24","24",0.475,0.5,0.475,0.00587985168078872,"I"
"25","25",0.475,0.5,0.475,0.00673467123409589,"I"
"26","26",0.475,0.5,0.475,0.00584672177519637,"I"
"27","27",0.475,0.5,0.475,0.00701129877828942,"I"
"28","28",0.475,0.5,0.475,0.0086558579023787,"I"
"29","29",0.475,0.5,0.475,0.00700703397424649,"I"
"30","30",0.475,0.5,0.475,0.00646445735828639,"I"
"31","31",0.475,0.5,0.475,0.00724087407057803,"I"
"32","32",0.475,0.5,0.475,0.00923022025036976,"I"
"33","33",0.475,0.5,0.475,0.00700384040494623,"I"
"34","34",0.475,0.5,0.475,0.00916586603774756,"I"
"35","35",0.475,0.5,0.475,0.00661888841844407,"I"
"36","36",0.475,0.5,0.475,0.00668066084365645,"I"
"37","37",0.475,0.5,0.475,0.00700782513168098,"I"
"38","38",0.475,0.5,0.475,0.0070634735832011,"I"
"39","39",0.475,0.5,0.475,0.0066213858062192,"I"
"40","40",0.475,0.5,0.475,0.0070991224113205,"I"
"41","41",0.475,0.5,0.475,0.00670628461897851,"I"
"42","42",0.475,0.5,0.475,0.00910076743094626,"I"
"43","43",0.475,0.5,0.475,0.00834160673737566,"I"
"44","44",0.475,0.5,0.475,0.00711862714910275,"I"
"45","45",0.475,0.5,0.475,0.00710017322226431,"I"
"46","46",0.475,0.5,0.475,0.0070969138558296,"I"
"47","47",0.475,0.5,0.475,0.00809279320604489,"I"
"48","48",0.475,0.5,0.475,0.00335311804609718,"I"
"49","49",0.475,0.5,0.475,0.00922808904788371,"I"
"50","50",0.475,0.5,0.475,0.00490171205235138,"I"
"51","51",0.475,0.5,0.475,0.00735278952111206,"I"
"52","52",0.475,0.5,0.475,0.00618160750973745,"I"
"53","53",0.475,0.5,0.475,0.00695601253675461,"I"
"54","54",0.475,0.5,0.475,0.00704616044250876,"I"
"55","55",0.475,0.5,0.475,0.00724648200409603,"I"
"56","56",0.475,0.5,0.475,0.0050585019732778,"I"
"57","57",0.475,0.5,0.475,0.00788661746427997,"I"
"58","58",0.475,0.5,0.475,0.00684259723880684,"I"
"59","59",0.475,0.5,0.475,0.00459767715191694,"I"
"60","60",0.475,0.5,0.475,0.00651854575449593,"I"
"61","61",0.475,0.5,0.475,0.00787497773165797,"I"
"62","62",0.475,0.5,0.475,0.00921331670400986,"I"
"63","63",0.475,0.5,0.475,0.00717263753008466,"I"
"64","64",0.475,0.5,0.475,0.00875911022325926,"I"
"65","65",0.475,0.5,0.475,0.00712064457635091,"I"
"66","66",0.475,0.5,0.475,0.00377589565372963,"I"
"67","67",0.475,0.5,0.475,0.00645336909663931,"I"
"68","68",0.475,0.5,0.475,0.00923284578385707,"I"
"69","69",0.475,0.5,0.475,0.00834844408922728,"I"
"70","70",0.475,0.5,0.475,0.00878260193355096,"I"
"71","71",0.475,0.5,0.475,0.00537276510783325,"I"
"72","72",0.475,0.5,0.475,0.00708146864370541,"I"
"73","73",0.475,0.5,0.475,0.00668147497845093,"I"
"74","74",0.475,0.5,0.475,0.00468508480622616,"I"
"75","75",0.475,0.5,0.475,0.00656667644349522,"I"
"76","76",0.475,0.5,0.475,0.00675175792569187,"I"
"77","77",0.475,0.5,0.475,0.00825450344651797,"I"
"78","78",0.475,0.5,0.475,0.00728004009301174,"I"
"79","79",0.475,0.5,0.475,0.00708918480550684,"I"
"80","80",0.475,0.5,0.475,0.00631339464145558,"I"
"81","81",0.475,0.5,0.475,0.00699417397893046,"I"
"82","82",0.475,0.5,0.475,0.0033040560721461,"I"
"83","83",0.475,0.5,0.475,0.007899894152866,"I"
"84","84",0.475,0.5,0.475,0.00662992181307699,"I"
"85","85",0.475,0.5,0.475,0.0070932419370014,"I"
"86","86",0.475,0.5,0.475,0.00924564458171924,"I"
"87","87",0.475,0.5,0.475,0.00557230852452005,"I"
"88","88",0.475,0.5,0.475,0.00715211631097414,"I"
"89","89",0.475,0.5,0.475,0.00577201269124996,"I"
"90","90",0.475,0.5,0.475,0.00925880179535685,"I"
"91","91",0.475,0.5,0.475,0.00678308120535225,"I"
"92","92",0.475,0.5,0.475,0.00786041522952369,"I"
"93","93",0.475,0.5,0.475,0.00698795384060136,"I"
"94","94",0.475,0.5,0.475,0.00378463333660271,"I"
"95","95",0.475,0.5,0.475,0.00709334737921595,"I"
"96","96",0.475,0.5,0.475,0.00372883743045506,"I"
"97","97",0.475,0.5,0.475,0.00702186029838893,"I"
"98","98",0.475,0.5,0.475,0.00540253591080367,"I"
"99","99",0.475,0.5,0.475,0.00403611144289183,"I"
"100","100",0.475,0.5,0.475,0.00493908108342862,"I"
"101","1",0.475,0.5,0.475,0.00411075283546042,"II"
"102","2",0.475,0.5,0.475,0.00717547669546226,"II"
"103","3",0.475,0.5,0.475,0.00927462108329797,"II"
"104","4",0.475,0.5,0.475,0.00847559759959998,"II"
"105","5",0.475,0.5,0.475,0.00527400674933954,"II"
"106","6",0.475,0.5,0.475,0.00656251938053663,"II"
"107","7",0.475,0.5,0.475,0.00595560475304039,"II"
"108","8",0.475,0.5,0.475,0.00662002465777665,"II"
"109","9",0.475,0.5,0.475,0.00691143692370609,"II"
"110","10",0.475,0.5,0.475,0.00887896771211667,"II"
"111","11",0.475,0.5,0.475,0.00472404070332432,"II"
"112","12",0.475,0.5,0.475,0.00648887263034539,"II"
"113","13",0.475,0.5,0.475,0.00709644049761888,"II"
"114","14",0.475,0.5,0.475,0.00677465618945916,"II"
"115","15",0.475,0.5,0.475,0.00676554866817558,"II"
"116","16",0.475,0.5,0.475,0.0072297131212138,"II"
"117","17",0.475,0.5,0.475,0.00699549509331087,"II"
"118","18",0.475,0.5,0.475,0.00658633058445425,"II"
"119","19",0.475,0.5,0.475,0.00691216783982885,"II"
"120","20",0.475,0.5,0.475,0.00789449146621809,"II"
"121","21",0.475,0.5,0.475,0.00719978832730222,"II"
"122","22",0.475,0.5,0.475,0.00927642936414801,"II"
"123","23",0.475,0.5,0.475,0.00705295864687091,"II"
"124","24",0.475,0.5,0.475,0.00587985168078872,"II"
"125","25",0.475,0.5,0.475,0.00673467123409589,"II"
"126","26",0.475,0.5,0.475,0.00584672177519637,"II"
"127","27",0.475,0.5,0.475,0.00701129877828942,"II"
"128","28",0.475,0.5,0.475,0.0086558579023787,"II"
"129","29",0.475,0.5,0.475,0.00700703397424649,"II"
"130","30",0.475,0.5,0.475,0.00646445735828639,"II"
"131","31",0.475,0.5,0.475,0.00724087407057803,"II"
"132","32",0.475,0.5,0.475,0.00923022025036976,"II"
"133","33",0.475,0.5,0.475,0.00700384040494623,"II"
