"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","sim"
"V1...1",NA,0.996597751357058,0.992938197282095,0.989152259016966,0.986119859824021,0.985058535696764,0.985712041902203,0.987524769816048,0.988806650300889,0.991244285521442,0.994451579593243,0.997530175786576,0.997903532772734,0.995386299999093,0.991702646256421,0.988516787808644,0.985631656298579,0.985508520883435,0.986181013888328,0.987938734396858,"I"
"V2...2",NA,NA,0.996587929781559,0.993358174271885,0.989920109333839,0.987866521215051,0.987244090876022,0.98767417330917,0.988320775109064,0.987912583846369,0.990806604627552,0.994492320701254,0.997432913558543,0.997884765278706,0.995625983652547,0.992388692353811,0.989298163168456,0.987783500745149,0.987276108934411,0.987677863656758,"I"
"V3...3",NA,NA,NA,0.996661888300417,0.993580685275538,0.990601018375985,0.988623622815617,0.98787491816299,0.987344381709602,0.985903355315981,0.987326564987822,0.990512958232634,0.994375651070988,0.997355001100895,0.99794174961422,0.995834551087695,0.992763841008767,0.990018887683306,0.988272197804545,0.987603925727244,"I"
"V4...4",NA,NA,NA,NA,0.996672943411813,0.993816916105665,0.990850140022279,0.988773227604719,0.98688082226505,0.98499651471544,0.984249058107296,0.987550007133662,0.99068378273918,0.994578913285589,0.997124217580948,0.997965431838194,0.995926565634801,0.992962849368402,0.990165609583594,0.987891534757638,"I"
"V5...5",NA,NA,NA,NA,NA,0.996520416227482,0.993663901936915,0.990545731181163,0.98745191428431,0.984599469586609,0.982647062170259,0.984212903463374,0.987335843083247,0.991122061190321,0.994570871868257,0.997256757037754,0.997981762514769,0.995621806717804,0.992788758133403,0.989376083848064,"I"
"V6...6",NA,NA,NA,NA,NA,NA,0.996230824442714,0.993224525812165,0.98894827877899,0.986476980471704,0.983266749356405,0.983804910916884,0.985939697900411,0.988570145338207,0.991461128574139,0.994693410808982,0.997108613377964,0.997950151986463,0.995186578313958,0.992052414985938,"I"
"V7...7",NA,NA,NA,NA,NA,NA,NA,0.99603908356231,0.991795418351253,0.988481893555746,0.986057630235637,0.985428717262012,0.986182417725293,0.987517610611413,0.989105927741929,0.991503440075475,0.994481695309108,0.997014504176593,0.99791737794851,0.994834793695951,"I"
"V8...8",NA,NA,NA,NA,NA,NA,NA,NA,0.996107081051004,0.992525540641435,0.989256458505516,0.987736621983999,0.987443863151817,0.987639066279184,0.987826633265066,0.989299083776403,0.991354627979237,0.993852113621102,0.996921376521603,0.997896547039892,"I"
"V9...9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996454978970764,0.993449193173104,0.990340608990054,0.988100478392203,0.98793678371128,0.986979003116049,0.98682579102343,0.98805330082486,0.989848238770955,0.993088170468635,0.997028448426642,"I"
"V10...10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99652048821288,0.993099004246513,0.990211367286861,0.986768804577992,0.985535937098119,0.984909362594843,0.985165406191595,0.987010054011622,0.989313566662899,0.99378496362085,"I"
"V11...11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996588262166227,0.993147955107953,0.989382501491195,0.98625193785348,0.983895437652871,0.982789473003126,0.984245419275662,0.986949163604998,0.99043828716044,"I"
"V12...12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996685996371212,0.992892990931184,0.98958884007401,0.986644622400127,0.983762627929692,0.984418381717533,0.986069617180791,0.988492053996171,"I"
"V13...13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996598462951072,0.993218425166818,0.989812006071765,0.98707142486146,0.986124606547346,0.98669063054481,0.987657557074206,"I"
"V14...14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996684081314229,0.993680576032734,0.990407018375487,0.988236901372092,0.987417515411534,0.987522641732995,"I"
"V15...15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996518997221881,0.993711891243942,0.990752263790984,0.988418336770882,0.987349432917299,"I"
"V16...16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996683457160718,0.993833764550904,0.990697992377406,0.988326684569873,"I"
"V17...17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99640997207122,0.993429149228957,0.990107118105285,"I"
"V18...18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99617492064694,0.993066919318087,"I"
"V19...19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995963962300782,"I"
"V20...20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I"
"V1...21",NA,0.984173287884983,0.959749260914761,0.942549143960857,0.935506421030235,0.931224671068386,0.92601331428763,0.938716333770998,0.946341521985103,0.961615903508958,0.967528676257547,0.9769204445013,0.970805581943467,0.948602813775114,0.937564022672893,0.933758833399141,0.94442317001366,0.94969153022562,0.948109056862901,0.943916324631895,"II"
"V2...22",NA,NA,0.992372496887407,0.980150847825318,0.970430159397694,0.959791198804946,0.946280466353171,0.931656548035514,0.935214588705647,0.945660458248271,0.957855066956385,0.972948099177083,0.983868205491971,0.975102687255357,0.964088608690063,0.953778152275665,0.957509263925177,0.962498334341139,0.954728988307716,0.951311759888246,"II"
"V3...23",NA,NA,NA,0.995871528859053,0.989116265480299,0.97694796943365,0.958312422216814,0.939097546536668,0.928281512837663,0.937076774575179,0.948572040016482,0.962135540653099,0.977618960120512,0.985633263516447,0.97620505152026,0.967056573443745,0.959589255011177,0.964646907402249,0.957911650878431,0.956043189053317,"II"
"V4...24",NA,NA,NA,NA,0.995294505897476,0.986516904060185,0.969170423960224,0.9459701000441,0.932008077650223,0.931714270822444,0.940232829532116,0.953852167649505,0.969916927039545,0.985566521865648,0.983661495051225,0.974924372557365,0.964607970627479,0.964887326923733,0.962455036205277,0.956288636626103,"II"
"V5...25",NA,NA,NA,NA,NA,0.994540663657272,0.983029493020022,0.957123106797207,0.935555458231807,0.930924505107433,0.938037996766553,0.950699679056247,0.965689750948532,0.985414505154667,0.988177280792655,0.981561805169975,0.969722718800315,0.965708377363372,0.965291920138274,0.958250694961263,"II"
"V6...26",NA,NA,NA,NA,NA,NA,0.994048086019147,0.973732759506235,0.946306438856287,0.935533056330494,0.936730504266169,0.951631903052245,0.96292197331226,0.981780287348201,0.980974456606096,0.98461208214816,0.973581265002421,0.96797136339597,0.963787626871824,0.964277734526904,"II"
"V7...27",NA,NA,NA,NA,NA,NA,NA,0.991621993933893,0.962621620013568,0.946741273805459,0.935895248645137,0.939740786994811,0.948459970235714,0.970904167885918,0.976361905464113,0.983989739923684,0.976429348462035,0.96709756384764,0.965143000952309,0.96344002822513,"II"
"V8...28",NA,NA,NA,NA,NA,NA,NA,NA,0.989548638136404,0.961155509392385,0.940909559558245,0.936567303085598,0.934544955884341,0.944560916948988,0.961297576787989,0.973347863832382,0.98016782734391,0.971254124432621,0.9662995277876,0.962873183466456,"II"
"V9...29",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987111350283746,0.958367575915591,0.937016047631202,0.92647887049363,0.922687721004218,0.928269107622123,0.945727208249484,0.963634623505479,0.973811639156128,0.976838391999099,0.967753339410515,"II"
"V10...30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990888238134559,0.967641903520472,0.942278669685656,0.928663742884081,0.918960041446298,0.92578381368107,0.941321040689785,0.962643372681272,0.976880539855415,0.982613322878345,"II"
"V11...31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990180112143415,0.962899446696287,0.940945016732657,0.924882410590147,0.917191185312885,0.926988723798225,0.946900731240657,0.962748568871352,0.972946543874443,"II"
"V12...32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988439132791127,0.966367540694519,0.940538216803187,0.92479743512988,0.929290043529351,0.943607054411388,0.947211239413272,0.957012697254872,"II"
"V13...33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989366229229069,0.968861689007395,0.947312715875763,0.937563677358619,0.942246749523119,0.943521896777429,0.950263996599676,"II"
"V14...34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992992010039685,0.976188116118463,0.959157368834382,0.953967048714107,0.95245949497974,0.947777693405773,"II"
"V15...35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993244553577226,0.972486967784339,0.956981138869834,0.94802519665695,0.947127269537924,"II"
"V16...36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991975169733785,0.969943269264185,0.956258880105926,0.942483642128652,"II"
"V17...37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990059249936833,0.968372514645113,0.949400406747199,"II"
"V18...38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990501638669314,0.973421337404221,"II"
"V19...39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992664001652354,"II"
"V20...40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"II"
"V1...41",NA,0.993465195985645,0.974547597948997,0.955289611532176,0.940505454514143,0.971954459891982,0.991175562851793,0.994031282775715,0.985116272113361,0.962198488862333,0.943601070905165,0.944826452932016,0.967243293038422,0.983997448481234,0.980729153034461,0.968304350468119,0.954544153601342,0.943151978354728,0.958746915594184,0.978839984303147,"III"
"V2...42",NA,NA,0.994532018922146,0.984105532051743,0.961149669133711,0.962765225833186,0.977528783379967,0.992310245866428,0.986465711975028,0.982583733405798,0.970098085466386,0.945601826158037,0.945282869084608,0.969396329608253,0.981423631817386,0.986264705885855,0.98207521536367,0.959211632840495,0.942601973603851,0.960053077549234,"III"
"V3...43",NA,NA,NA,0.994922251189626,0.982304403161311,0.962875305905552,0.957669252722162,0.98228040382962,0.983651084468714,0.985506547391469,0.983143783198891,0.967072618554009,0.930058084714352,0.945819581126307,0.976987843078009,0.988538294060277,0.988785827176069,0.976776375003637,0.939642063692394,0.932196904210777,"III"
"V4...44",NA,NA,NA,NA,0.992452572211936,0.964133400494513,0.942588118071704,0.968056787287072,0.985261086420839,0.990713359620126,0.993707438586795,0.977119144242944,0.925791055656302,0.933510654450065,0.968732882344202,0.98520891982856,0.989621337264149,0.98229708847766,0.949659712871451,0.917886799723832,"III"
"V5...45",NA,NA,NA,NA,NA,0.983750457498724,0.95018602025591,0.958250005224121,0.973335104664445,0.981989194372478,0.989550895569256,0.99216611137197,0.951256061106285,0.936994374740378,0.957174329328109,0.975001034992259,0.981777613582711,0.984434248775056,0.972165544242805,0.93089601363431,"III"
"V6...46",NA,NA,NA,NA,NA,NA,0.989486447368669,0.974714565792895,0.968964141156729,0.962536532975401,0.97300564860431,0.990926918405074,0.991770642635384,0.975558935220263,0.970843745107605,0.9670692995409,0.964378461309069,0.975584957587108,0.989230521604864,0.979765082545552,"III"
"V7...47",NA,NA,NA,NA,NA,NA,NA,0.99320426973544,0.977716776603591,0.956898307989009,0.95031888728799,0.969996623532714,0.991128188042352,0.994737898412735,0.990177343307661,0.973890787410261,0.954861998235764,0.952190463488653,0.977479789621421,0.988650043320695,"III"
"V8...48",NA,NA,NA,NA,NA,NA,NA,NA,0.993846770416748,0.980838952723988,0.963164829872556,0.958376157910916,0.975819405579751,0.989820410766033,0.993579329973344,0.990523587385953,0.978874058843197,0.962445382804899,0.96139141010974,0.980696496835977,"III"
"V9...49",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99538612517272,0.984905017384848,0.966842489600049,0.956131615453529,0.971282501178646,0.991041554732925,0.995334092944393,0.993680629078744,0.981702410823019,0.959099470178905,0.956969706282164,"III"
"V10...50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994450865679775,0.972533329602062,0.934863820724329,0.948386852875113,0.980840193907783,0.993046999118763,0.995384225893518,0.990837975227137,0.957280013015595,0.933022319595042,"III"
"V11...51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989018210470165,0.944183711873124,0.938048523108703,0.963817422365385,0.984681075193056,0.992806945165071,0.99445611710457,0.972674282423219,0.937822984164628,"III"
"V12...52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984113621858571,0.958366924774078,0.958687231514443,0.967227890284812,0.974675354567766,0.988053737383078,0.992680926447127,0.968112401918074,"III"
"V13...53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991266481746527,0.974183803222284,0.94928328230796,0.935848063598788,0.952255761783926,0.989545904944199,0.994724605047574,"III"
"V14...54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993056561822058,0.968440646706627,0.946287674720371,0.937495560745516,0.968316706497181,0.990145856561648,"III"
"V15...55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993553878260119,0.978858293788678,0.959952869589283,0.958458435180831,0.978777307865137,"III"
"V16...56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995420146459953,0.983107419450984,0.958426420250493,0.948038516767546,"III"
"V17...57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994448957186751,0.960375349268525,0.932226566773994,"III"
"V18...58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983815287756737,0.942377250434046,"III"
"V19...59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986515362104563,"III"
"V20...60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III"
