"","rowname","iter","sim","approach","value"
"1","R2",1,"I","fit_all_stats",0.999851537329065
"2","R2",1,"I","fitsumStats",0.999279390389271
"3","R2",1,"I","fit_NT_stats",0.999419798441493
"4","rmse",1,"I","fit_all_stats",0.0168963704788574
"5","rmse",1,"I","fitsumStats",0.00434817418773217
"6","rmse",1,"I","fit_NT_stats",0.00390163244531348
"7","R2",2,"I","fit_all_stats",0.999384818578165
"8","R2",2,"I","fitsumStats",0.998964441541028
"9","R2",2,"I","fit_NT_stats",0.999034901504972
"10","rmse",2,"I","fit_all_stats",0.0408541048432579
"11","rmse",2,"I","fitsumStats",0.0102084986063852
"12","rmse",2,"I","fit_NT_stats",0.00985508518894478
"13","R2",3,"I","fit_all_stats",0.999081979934513
"14","R2",3,"I","fitsumStats",0.999489708010397
"15","R2",3,"I","fit_NT_stats",0.998436131929417
"16","rmse",3,"I","fit_all_stats",0.0549899304762952
"17","rmse",3,"I","fitsumStats",0.00794001763785013
"18","rmse",3,"I","fit_NT_stats",0.0138999151143796
"19","R2",4,"I","fit_all_stats",0.999256968643596
"20","R2",4,"I","fitsumStats",0.999066575428115
"21","R2",4,"I","fit_NT_stats",0.998472689905685
"22","rmse",4,"I","fit_all_stats",0.0463717362876451
"23","rmse",4,"I","fitsumStats",0.00952094449223189
"24","rmse",4,"I","fit_NT_stats",0.0121787868498331
"25","R2",5,"I","fit_all_stats",0.999705151605769
"26","R2",5,"I","fitsumStats",0.999447905628874
"27","R2",5,"I","fit_NT_stats",0.99942086732579
"28","rmse",5,"I","fit_all_stats",0.0252574950493333
"29","rmse",5,"I","fitsumStats",0.00540682255737149
"30","rmse",5,"I","fit_NT_stats",0.00553763709845178
"31","R2",6,"I","fit_all_stats",0.998553280693616
"32","R2",6,"I","fitsumStats",0.998619036767159
"33","R2",6,"I","fit_NT_stats",0.999166978519924
"34","rmse",6,"I","fit_all_stats",0.0915862343416937
"35","rmse",6,"I","fitsumStats",0.0171846628291004
"36","rmse",6,"I","fit_NT_stats",0.0133468278105116
"37","R2",7,"I","fit_all_stats",0.99955085119647
"38","R2",7,"I","fitsumStats",0.999570242889391
"39","R2",7,"I","fit_NT_stats",0.999140834226091
"40","rmse",7,"I","fit_all_stats",0.0330429622662059
"41","rmse",7,"I","fitsumStats",0.00596250000569653
"42","rmse",7,"I","fit_NT_stats",0.0084305389825035
"43","R2",8,"I","fit_all_stats",0.999436888617319
"44","R2",8,"I","fitsumStats",0.998919227527505
"45","R2",8,"I","fit_NT_stats",0.998931334885792
"46","rmse",8,"I","fit_all_stats",0.0383503595890467
"47","rmse",8,"I","fitsumStats",0.0102428658821216
"48","rmse",8,"I","fit_NT_stats",0.010185331421173
"49","R2",9,"I","fit_all_stats",0.99876347396309
"50","R2",9,"I","fitsumStats",0.999056125111201
"51","R2",9,"I","fit_NT_stats",0.998687929090403
"52","rmse",9,"I","fit_all_stats",0.0714984034053098
"53","rmse",9,"I","fitsumStats",0.0118070690492111
"54","rmse",9,"I","fit_NT_stats",0.0139207790476573
"55","R2",10,"I","fit_all_stats",0.99921604955003
"56","R2",10,"I","fitsumStats",0.99936209374874
"57","R2",10,"I","fit_NT_stats",0.998323521707677
"58","rmse",10,"I","fit_all_stats",0.0481567721678527
"59","rmse",10,"I","fitsumStats",0.00778909517005952
"60","rmse",10,"I","fit_NT_stats",0.0126272142221338
"61","R2",11,"I","fit_all_stats",0.999999999440347
"62","R2",11,"I","fitsumStats",0.999543699095976
"63","R2",11,"I","fit_NT_stats",0.999731692041172
"64","rmse",11,"I","fit_all_stats",3.04385019463905e-05
"65","rmse",11,"I","fitsumStats",7.05891806971355e-06
"66","rmse",11,"I","fit_NT_stats",5.4128906580389e-06
"67","R2",12,"I","fit_all_stats",0.998580548790895
"68","R2",12,"I","fitsumStats",0.998674832386091
"69","R2",12,"I","fit_NT_stats",0.999151733993613
"70","rmse",12,"I","fit_all_stats",0.0898174968518028
"71","rmse",12,"I","fitsumStats",0.0168852739609776
"72","rmse",12,"I","fit_NT_stats",0.0135094832225532
"73","R2",13,"I","fit_all_stats",0.998907401314668
"74","R2",13,"I","fitsumStats",0.999327142104157
"75","R2",13,"I","fit_NT_stats",0.99891375161307
"76","rmse",13,"I","fit_all_stats",0.0646981994019921
"77","rmse",13,"I","fitsumStats",0.0105313223692072
"78","rmse",13,"I","fit_NT_stats",0.013380914714234
"79","R2",14,"I","fit_all_stats",0.998606336546674
"80","R2",14,"I","fitsumStats",0.99905763763001
"81","R2",14,"I","fit_NT_stats",0.999208994933827
"82","rmse",14,"I","fit_all_stats",0.0877033919550917
"83","rmse",14,"I","fitsumStats",0.0140378515723387
"84","rmse",14,"I","fit_NT_stats",0.0128611946384103
"85","R2",15,"I","fit_all_stats",0.998817539521506
"86","R2",15,"I","fitsumStats",0.999043488771876
"87","R2",15,"I","fit_NT_stats",0.998947100220081
"88","rmse",15,"I","fit_all_stats",0.0688038544132462
"89","rmse",15,"I","fitsumStats",0.0122861366155801
"90","rmse",15,"I","fit_NT_stats",0.012890323639438
"91","R2",16,"I","fit_all_stats",0.998634553314719
"92","R2",16,"I","fitsumStats",0.999048200192437
"93","R2",16,"I","fit_NT_stats",0.998749313973642
"94","rmse",16,"I","fit_all_stats",0.0812305923337276
"95","rmse",16,"I","fitsumStats",0.011163374909702
"96","rmse",16,"I","fit_NT_stats",0.0127966665300009
"97","R2",17,"I","fit_all_stats",0.99862625086673
"98","R2",17,"I","fitsumStats",0.998723395009064
"99","R2",17,"I","fit_NT_stats",0.998112968906797
"100","rmse",17,"I","fit_all_stats",0.0837155611091426
"101","rmse",17,"I","fitsumStats",0.0144591147086161
"102","rmse",17,"I","fit_NT_stats",0.01757935604504
"103","R2",18,"I","fit_all_stats",0.998751981796053
"104","R2",18,"I","fitsumStats",0.999167163822792
"105","R2",18,"I","fit_NT_stats",0.997936500861625
"106","rmse",18,"I","fit_all_stats",0.0729343114574452
"107","rmse",18,"I","fitsumStats",0.010654882402238
"108","rmse",18,"I","fit_NT_stats",0.0167714655978133
"109","R2",19,"I","fit_all_stats",0.999405793150084
"110","R2",19,"I","fitsumStats",0.99904446216086
"111","R2",19,"I","fit_NT_stats",0.998988375130192
"112","rmse",19,"I","fit_all_stats",0.039823341450014
"113","rmse",19,"I","fitsumStats",0.00975443399132854
"114","rmse",19,"I","fit_NT_stats",0.0100366291653415
"115","R2",20,"I","fit_all_stats",0.999319896718622
"116","R2",20,"I","fitsumStats",0.998893333534517
"117","R2",20,"I","fit_NT_stats",0.99887296303865
"118","rmse",20,"I","fit_all_stats",0.0437464423899763
"119","rmse",20,"I","fitsumStats",0.0105180578838758
"120","rmse",20,"I","fit_NT_stats",0.0106144198259952
"121","R2",21,"I","fit_all_stats",0.998661410897073
"122","R2",21,"I","fitsumStats",0.999111075855864
"123","R2",21,"I","fit_NT_stats",0.998078247213598
"124","rmse",21,"I","fit_all_stats",0.0813228765387432
"125","rmse",21,"I","fitsumStats",0.0112593529138511
"126","rmse",21,"I","fit_NT_stats",0.0165550249832948
"127","R2",22,"I","fit_all_stats",0.999097907839263
"128","R2",22,"I","fitsumStats",0.999507263618966
"129","R2",22,"I","fit_NT_stats",0.998425817678885
"130","rmse",22,"I","fit_all_stats",0.0543150553749296
"131","rmse",22,"I","fitsumStats",0.00769733353850481
"132","rmse",22,"I","fit_NT_stats",0.01375816476994
"133","R2",23,"I","fit_all_stats",0.998688689332642
"134","R2",23,"I","fitsumStats",0.999491359633047
"135","R2",23,"I","fit_NT_stats",0.99886480678194
"136","rmse",23,"I","fit_all_stats",0.0775170177376256
"137","rmse",23,"I","fitsumStats",0.00778519237795626
"138","rmse",23,"I","fit_NT_stats",0.0116305119209817
"139","R2",24,"I","fit_all_stats",0.999568479185108
"140","R2",24,"I","fitsumStats",0.999620377295724
"141","R2",24,"I","fit_NT_stats",0.999198609581615
"142","rmse",24,"I","fit_all_stats",0.0322117230116849
"143","rmse",24,"I","fitsumStats",0.0055126955771565
"144","rmse",24,"I","fit_NT_stats",0.00800958461961662
"145","R2",25,"I","fit_all_stats",0.998866222818112
"146","R2",25,"I","fitsumStats",0.999136299598743
"147","R2",25,"I","fit_NT_stats",0.998945882944291
"148","rmse",25,"I","fit_all_stats",0.0668060132331924
"149","rmse",25,"I","fitsumStats",0.0118139686995225
"150","rmse",25,"I","fit_NT_stats",0.0130514473380689
"151","R2",26,"I","fit_all_stats",0.999575517837094
"152","R2",26,"I","fitsumStats",0.999646359693692
"153","R2",26,"I","fit_NT_stats",0.999225025417677
"154","rmse",26,"I","fit_all_stats",0.0318654544027422
"155","rmse",26,"I","fitsumStats",0.0052776687003425
"156","rmse",26,"I","fit_NT_stats",0.00781276883809429
"157","R2",27,"I","fit_all_stats",0.998603492464966
"158","R2",27,"I","fitsumStats",0.998666402726946
"159","R2",27,"I","fit_NT_stats",0.998429115604424
"160","rmse",27,"I","fit_all_stats",0.0848207592614814
"161","rmse",27,"I","fitsumStats",0.0150832336139939
"162","rmse",27,"I","fit_NT_stats",0.016370208883231
"163","R2",28,"I","fit_all_stats",0.999031584469431
"164","R2",28,"I","fitsumStats",0.999503340122719
"165","R2",28,"I","fit_NT_stats",0.998694071963686
"166","rmse",28,"I","fit_all_stats",0.0576981795625945
"167","rmse",28,"I","fitsumStats",0.00841441580342863
"168","rmse",28,"I","fit_NT_stats",0.0136443877717547
"169","R2",29,"I","fit_all_stats",0.998629324378977
"170","R2",29,"I","fitsumStats",0.99875111595559
"171","R2",29,"I","fit_NT_stats",0.998098477805158
"172","rmse",29,"I","fit_all_stats",0.083600826543694
"173","rmse",29,"I","fitsumStats",0.0142859670369774
"174","rmse",29,"I","fit_NT_stats",0.0176278474944652
"175","R2",30,"I","fit_all_stats",0.998752695553774
"176","R2",30,"I","fitsumStats",0.999202418721386
"177","R2",30,"I","fit_NT_stats",0.997798356008843
"178","rmse",30,"I","fit_all_stats",0.0730958359213974
"179","rmse",30,"I","fitsumStats",0.0103560870551604
"180","rmse",30,"I","fit_NT_stats",0.0172060731134514
"181","R2",31,"I","fit_all_stats",0.999379505310827
"182","R2",31,"I","fitsumStats",0.99895204368489
"183","R2",31,"I","fit_NT_stats",0.999040541279867
