"","iter","mean_pairwisedist","sd_pairwisedist","mean_rho","sd_rho","sim"
"1","1",1,0,0.525,0,"I"
"2","2",1,0,0.525,0,"I"
"3","3",1,0,0.525,0,"I"
"4","4",1,0,0.525,0,"I"
"5","5",1,0,0.525,0,"I"
"6","6",1,0,0.525,0,"I"
"7","7",1,0,0.525,0,"I"
"8","8",1,0,0.525,0,"I"
"9","9",1,0,0.525,0,"I"
"10","10",1,0,0.525,0,"I"
"11","11",1,0,0.525,0,"I"
"12","12",1,0,0.525,0,"I"
"13","13",1,0,0.525,0,"I"
"14","14",1,0,0.525,0,"I"
"15","15",1,0,0.525,0,"I"
"16","16",1,0,0.525,0,"I"
"17","17",1,0,0.525,0,"I"
"18","18",1,0,0.525,0,"I"
"19","19",1,0,0.525,0,"I"
"20","20",1,0,0.525,0,"I"
"21","21",1,0,0.525,0,"I"
"22","22",1,0,0.525,0,"I"
"23","23",1,0,0.525,0,"I"
"24","24",1,0,0.525,0,"I"
"25","25",1,0,0.525,0,"I"
"26","26",1,0,0.525,0,"I"
"27","27",1,0,0.525,0,"I"
"28","28",1,0,0.525,0,"I"
"29","29",1,0,0.525,0,"I"
"30","30",1,0,0.525,0,"I"
"31","31",1,0,0.525,0,"I"
"32","32",1,0,0.525,0,"I"
"33","33",1,0,0.525,0,"I"
"34","34",1,0,0.525,0,"I"
"35","35",1,0,0.525,0,"I"
"36","36",1,0,0.525,0,"I"
"37","37",1,0,0.525,0,"I"
"38","38",1,0,0.525,0,"I"
"39","39",1,0,0.525,0,"I"
"40","40",1,0,0.525,0,"I"
"41","41",1,0,0.525,0,"I"
"42","42",1,0,0.525,0,"I"
"43","43",1,0,0.525,0,"I"
"44","44",1,0,0.525,0,"I"
"45","45",1,0,0.525,0,"I"
"46","46",1,0,0.525,0,"I"
"47","47",1,0,0.525,0,"I"
"48","48",1,0,0.525,0,"I"
"49","49",1,0,0.525,0,"I"
"50","50",1,0,0.525,0,"I"
"51","51",1,0,0.525,0,"I"
"52","52",1,0,0.525,0,"I"
"53","53",1,0,0.525,0,"I"
"54","54",1,0,0.525,0,"I"
"55","55",1,0,0.525,0,"I"
"56","56",1,0,0.525,0,"I"
"57","57",1,0,0.525,0,"I"
"58","58",1,0,0.525,0,"I"
"59","59",1,0,0.525,0,"I"
"60","60",1,0,0.525,0,"I"
"61","61",1,0,0.525,0,"I"
"62","62",1,0,0.525,0,"I"
"63","63",1,0,0.525,0,"I"
"64","64",1,0,0.525,0,"I"
"65","65",1,0,0.525,0,"I"
"66","66",1,0,0.525,0,"I"
"67","67",1,0,0.525,0,"I"
"68","68",1,0,0.525,0,"I"
"69","69",1,0,0.525,0,"I"
"70","70",1,0,0.525,0,"I"
"71","71",1,0,0.525,0,"I"
"72","72",1,0,0.525,0,"I"
"73","73",1,0,0.525,0,"I"
"74","74",1,0,0.525,0,"I"
"75","75",1,0,0.525,0,"I"
"76","76",1,0,0.525,0,"I"
"77","77",1,0,0.525,0,"I"
"78","78",1,0,0.525,0,"I"
"79","79",1,0,0.525,0,"I"
"80","80",1,0,0.525,0,"I"
"81","81",1,0,0.525,0,"I"
"82","82",1,0,0.525,0,"I"
"83","83",1,0,0.525,0,"I"
"84","84",1,0,0.525,0,"I"
"85","85",1,0,0.525,0,"I"
"86","86",1,0,0.525,0,"I"
"87","87",1,0,0.525,0,"I"
"88","88",1,0,0.525,0,"I"
"89","89",1,0,0.525,0,"I"
"90","90",1,0,0.525,0,"I"
"91","91",1,0,0.525,0,"I"
"92","92",1,0,0.525,0,"I"
"93","93",1,0,0.525,0,"I"
"94","94",1,0,0.525,0,"I"
"95","95",1,0,0.525,0,"I"
"96","96",1,0,0.525,0,"I"
"97","97",1,0,0.525,0,"I"
"98","98",1,7.20407827307146e-17,0.525,7.03844513774606e-17,"I"
"99","99",1,0,0.525,0,"I"
"100","100",1,0,0.525,0,"I"
"101","1",1,0,0.525,0,"II"
"102","2",1,0,0.525,0,"II"
"103","3",1,0,0.525,0,"II"
"104","4",1,0,0.525,0,"II"
"105","5",1,0,0.525,0,"II"
"106","6",1,0,0.525,0,"II"
"107","7",1,0,0.525,0,"II"
"108","8",1,0,0.525,0,"II"
"109","9",1,0,0.525,0,"II"
"110","10",1,0,0.525,0,"II"
"111","11",1,0,0.525,0,"II"
"112","12",1,0,0.525,0,"II"
"113","13",1,0,0.525,0,"II"
"114","14",1,0,0.525,0,"II"
"115","15",1,0,0.525,0,"II"
"116","16",1,0,0.525,0,"II"
"117","17",1,0,0.525,0,"II"
