"","model","R2","age","age_class","OOS_R2","OOS_rmse","rmse","ln_post","lnL_LOO","df","age class","rho","species"
"1","fithieraggR2",0.677490637216993,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","fithieraggR2KRFC",0.76201040944591,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KRFC_Hier",0.837457943445714,"1",NA,0.259202641190672,0.733683295835437,0.343670135315998,NA,NA,NA,"1",NA,NA
"4","KRFC_Hier",0.834900864686439,"2",NA,0.311841201124113,0.708963304695125,0.347257650732839,NA,NA,NA,"2",NA,NA
"5","KRFC_Hier",0.882316072994905,"3",NA,0.450138219876277,0.522846779917919,0.24188350147756,NA,NA,NA,"3",NA,NA
"6","KRFC_Hier",0.844081921294547,"4",NA,0.16609999864258,0.901902559657232,0.389987663778471,NA,NA,NA,"4",NA,NA
"7","SB_Hier",0.338664312850595,"1",NA,-0.530349367242156,1.44667440915763,0.951013067344906,NA,NA,NA,"1",NA,NA
"8","SB_Hier",0.573738284293337,"2",NA,0.108032594378969,1.26577929421533,0.875027413562977,NA,NA,NA,"2",NA,NA
"9","SB_Hier",0.104448863236726,"3",NA,-0.259685764177181,0.852915422688044,0.71915093856292,NA,NA,NA,"3",NA,NA
"10","SB_Hier",0.573696841192623,"4",NA,0.389991765374327,0.678470295646621,0.567181771735927,NA,NA,NA,"4",NA,NA
"11","SB_Hier",0.449747803173287,"5",NA,0.249779404283214,0.599538443316769,0.513456241204561,NA,NA,NA,"5",NA,NA
"12","SB_Hier",0.497205354099971,"6",NA,0.247780585051252,0.997734089311731,0.815713901830957,NA,NA,NA,"6",NA,NA
"13","SB_Hier",0.77885832831328,"7",NA,0.630247183757703,0.640358853559586,0.495225463685125,NA,NA,NA,"7",NA,NA
"14","SB_Hier",0.813103777745557,"8",NA,0.662394579397981,0.609081790433429,0.453180455602922,NA,NA,NA,"8",NA,NA
"15","SB_Hier",0.733042052188187,"9",NA,0.458459314635831,0.570513737087297,0.400564067512954,NA,NA,NA,"9",NA,NA
"16","SB_Hier",0.724913995070032,"10",NA,0.315126590820537,0.609639710839135,0.386369062506602,NA,NA,NA,"10",NA,NA
"17","SB_Hier",0.754074798888581,"11",NA,0.426774001278905,0.482901301355823,0.316298369790066,NA,NA,NA,"11",NA,NA
"18","SB_Hier",0.620570424789474,"12",NA,0.0507222521137192,0.509460090769078,0.32209138444311,NA,NA,NA,"12",NA,NA
"19","SB_Hier",0.643396710817811,"13",NA,-0.0541383997590756,0.366762337159261,0.213318532291091,NA,NA,NA,"13",NA,NA
"20","SB_Hier",0.491566448232292,"14",NA,-0.137434389163881,0.205430611335537,0.137346969813391,NA,NA,NA,"14",NA,NA
"21","KRFC_indvAge",0.705808061128818,"1",NA,-0.0621676436057421,1.11365579587332,0.346324550683969,-9.35010818823602,-1.41873865341117,5.38559861911696,"1",NA,NA
"22","KRFC_indvAge",0.889987213703405,"2",NA,0.0845841746960925,0.834781251439604,0.27940066403601,-10.7315954843967,-2.09767227027074,8.30884560408311,"2",NA,NA
"23","KRFC_indvAge",0.810321007063168,"3",NA,0.370368660076111,0.525355923698956,0.317766533827303,-13.0885442189161,-6.23723298815896,7.81992419533929,"3",NA,NA
"24","KRFC_indvAge",0.960696485120305,"4",NA,-1.17977803081329,1.32845782205698,0.202767248086501,-11.9950021980541,-1.56227205320501,9.34319105596811,"4",NA,NA
"25","SB_indvAge",0.857690889916773,"1",NA,0.0707035930415933,1.1391209829784,0.441811122293173,-8.05299650628792,0.948556416122468,5.17284117584215,"1",NA,NA
"26","SB_indvAge",0.710922261109843,"2",NA,-0.346951377549149,1.25506537262191,0.30623666664145,0.89245440885881,12.5884075273262,3.26150054057935,"2",NA,NA
"27","SB_indvAge",0.0128435004152959,"3",NA,-1.08961328838603,1.13680375568609,0.466603033930231,0.768794154803264,10.0499227459422,1.0479610929435,"3",NA,NA
"28","SB_indvAge",0.919502041271241,"4",NA,-2.49382841272302,2.0249419051199,0.183294960711012,-1.98025271910356,10.1599977036299,5.79007362744393,"4",NA,NA
"29","SB_indvAge",0.632529020160127,"5",NA,-0.702396600139704,1.10204050293079,0.297682350280158,0.573644798027593,10.7685283273956,2.53568257097364,"5",NA,NA
"30","SB_indvAge",0.397010283175503,"6",NA,-0.506896927044493,1.64422004644352,0.651035428305017,-5.59627284058626,2.22991594778105,2.38318706549072,"6",NA,NA
"31","SB_indvAge",0.932523706656265,"7",NA,0.0547298581238511,1.22245466649714,0.202077978609918,-5.71305317209793,5.22589907906934,6.15292510919436,"7",NA,NA
"32","SB_indvAge",0.815833895672747,"8",NA,-0.0330031902676822,1.16160431648966,0.415956175483854,-7.55443593202606,0.766159384298368,4.24334962793979,"8",NA,NA
"33","SB_indvAge",0.951812200487851,"9",NA,-0.704459068672715,1.03845454730007,0.173690346772422,-8.40859571323713,2.45287404799752,6.61959012376673,"9",NA,NA
"34","SB_indvAge",0.903417812548247,"10",NA,-0.301980726091245,0.876274686214483,0.215597547373275,-10.3653941357106,-2.04382788708163,5.82675179081466,"10",NA,NA
"35","SB_indvAge",0.300237162389169,"11",NA,-0.0905277868554333,0.819787449401221,0.415662150915929,-11.3602828296996,-5.64562195447957,2.25477640960632,"11",NA,NA
"36","SB_indvAge",0.94419311479951,"12",NA,-0.146170549576515,0.621257095413467,0.111803260694731,-11.113079031968,-3.18827927256877,7.06820196778658,"12",NA,NA
"37","SB_indvAge",0.86831888583963,"13",NA,-0.77527156848222,0.551340067563426,0.0615466798482849,-12.5086817463829,-5.71927598062305,6.22213902052915,"13",NA,NA
"38","KRFC_mixedAge",0.903306993937702,"1",NA,0.314943773199274,0.768635497368176,0.288771852740495,-15.4824424299344,-5.66770895617965,15.1777918289425,"1",NA,NA
"39","KRFC_mixedAge",0.995469228596678,"2",NA,0.857921363349009,0.351452456115632,0.0627607706240725,-8.51557562185759,13.2783221546815,20.1234528909195,"2",NA,NA
"40","KRFC_mixedAge",0.965792236232624,"3",NA,0.885916169066387,0.338554740701118,0.185386964534512,-5.81257226668629,9.68699591262038,9.36879244038991,"3",NA,NA
"41","KRFC_mixedAge",0.74091533444949,"4",NA,0.103711774376158,0.957785480611346,0.514950231960853,-17.9128852962016,-10.4984149327488,10.5952963919418,"4",NA,NA
"42","SB_mixedAge",0.977253116609542,"1",NA,0.772382959115885,0.355271625059034,0.112310170517261,-5.2130010184144,12.3812037746376,14.166200361756,"1",NA,NA
"43","SB_mixedAge",0.996944847682871,"2",NA,0.61355286035155,0.413988748492214,0.0368095003958191,0.175659028181466,21.0834509409603,17.3243824508895,"2",NA,NA
