"","model","R2","age","age_class","OOS_R2","OOS_rmse","rmse","ln_post","lnL_LOO","df","age class","rho","species"
"1","fithieraggR2",0.677490637216993,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","fithieraggR2KRFC",0.76201040944591,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KRFC_Hier",0.837457943445714,"1",NA,0.259202641190672,0.733683295835437,0.343670135315998,NA,NA,NA,"1",NA,NA
"4","KRFC_Hier",0.834900864686439,"2",NA,0.311841201124113,0.708963304695125,0.347257650732839,NA,NA,NA,"2",NA,NA
"5","KRFC_Hier",0.882316072994905,"3",NA,0.450138219876277,0.522846779917919,0.24188350147756,NA,NA,NA,"3",NA,NA
"6","KRFC_Hier",0.844081921294547,"4",NA,0.16609999864258,0.901902559657232,0.389987663778471,NA,NA,NA,"4",NA,NA
"7","SB_Hier",0.148432793602048,"1",NA,-0.0938019522347742,1.29563699390632,1.14320326719067,NA,NA,NA,"1",NA,NA
"8","SB_Hier",0.413485044045709,"2",NA,0.219615607688524,1.19693577010229,1.0376624567232,NA,NA,NA,"2",NA,NA
"9","SB_Hier",0.324286666219712,"3",NA,0.214137682654081,0.769332520098497,0.713381927407742,NA,NA,NA,"3",NA,NA
"10","SB_Hier",0.643637439203523,"4",NA,0.588418170993424,0.594430502097702,0.553119571171251,NA,NA,NA,"4",NA,NA
"11","SB_Hier",0.492767538738859,"5",NA,0.420656038624553,0.616331643564301,0.576699723354201,NA,NA,NA,"5",NA,NA
"12","SB_Hier",0.313029754078882,"6",NA,0.184230707524071,1.04410286049239,0.958139120291325,NA,NA,NA,"6",NA,NA
"13","SB_Hier",0.592956961535886,"7",NA,0.499842813825386,0.751677381112451,0.678107255557928,NA,NA,NA,"7",NA,NA
"14","SB_Hier",0.506249950294424,"8",NA,0.398007154929339,0.779369915980237,0.705832333739662,NA,NA,NA,"8",NA,NA
"15","SB_Hier",0.572267454850012,"9",NA,0.441399311607139,0.587498143384872,0.514093263635574,NA,NA,NA,"9",NA,NA
"16","SB_Hier",0.47360153738825,"10",NA,0.284227067397518,0.612966407955322,0.525661712136787,NA,NA,NA,"10",NA,NA
"17","SB_Hier",0.425197319592189,"11",NA,0.206299752037041,0.536780570144819,0.456801921029041,NA,NA,NA,"11",NA,NA
"18","SB_Hier",0.334498678927624,"12",NA,0.0560893531335936,0.494766092896204,0.415440610383024,NA,NA,NA,"12",NA,NA
"19","SB_Hier",0.303900109276269,"13",NA,-0.00775238166467695,0.343923253803947,0.285838291334951,NA,NA,NA,"13",NA,NA
"20","SB_Hier",0.136060755966774,"14",NA,-0.121878632895648,0.190969716104256,0.167584236538233,NA,NA,NA,"14",NA,NA
"21","KRFC_indvAge",0.705808061128818,"1",NA,-0.0621676436057421,1.11365579587332,0.346324550683969,-9.35010818823602,-1.41873865341117,5.38559861911696,"2",NA,NA
"22","KRFC_indvAge",0.889987213703405,"2",NA,0.0845841746960925,0.834781251439604,0.27940066403601,-10.7315954843967,-2.09767227027074,8.30884560408311,"3",NA,NA
"23","KRFC_indvAge",0.810321007063168,"3",NA,0.370368660076111,0.525355923698956,0.317766533827303,-13.0885442189161,-6.23723298815896,7.81992419533929,"4",NA,NA
"24","KRFC_indvAge",0.960696485120305,"4",NA,-1.17977803081329,1.32845782205698,0.202767248086501,-11.9950021980541,-1.56227205320501,9.34319105596811,"5",NA,NA
"25","SB_indvAge",0.70048339784248,"1",NA,0.620020205900948,0.728405094016441,0.666445669542166,-10.4503591831581,-2.17109791393936,6.02285288811725,"X1",NA,NA
"26","SB_indvAge",0.953244638923885,"2",NA,-3.87651004425686,2.38805843518702,0.319695122029632,-6.04364888323395,4.89224437778192,9.39416578371663,"X2",NA,NA
"27","SB_indvAge",0.767299036665324,"3",NA,-1.18871630696284,1.16344879952237,0.424145024297427,3.38461423472422,14.8843960893783,2.85403437700822,"X3",NA,NA
"28","SB_indvAge",0.859778826254296,"4",NA,-0.00933533003193943,1.08837741078534,0.304187493001614,-1.73779761322221,9.65677534981191,7.75359110083301,"X4",NA,NA
"29","SB_indvAge",0.493531065184329,"5",NA,-0.440461789658472,1.01372009564419,0.56015648363586,-0.622853210255241,8.37432110430292,1.96680092243428,"X5",NA,NA
"30","SB_indvAge",0.367859196630269,"6",NA,-0.489065668508018,1.63446298827991,0.803463015284645,-5.81025482576217,1.92380669570498,1.93219024742252,"X6",NA,NA
"31","SB_indvAge",0.443112895878924,"7",NA,0.165384114523333,1.14867750427247,0.673691434607257,-7.008560450599,0.577489613600592,2.86049575266289,"X7",NA,NA
"32","SB_indvAge",0.297127556536461,"8",NA,0.152883282112206,1.05191103755053,0.755457913266055,-9.63183877002409,-2.62731167592826,2.62828956135307,"X8",NA,NA
"33","SB_indvAge",0.949257687932775,"9",NA,-0.0688162632940672,0.822329236138058,0.174296494129136,-11.1435478382856,-1.42537591879043,10.681181213828,"X9",NA,NA
"34","SB_indvAge",0.777195522956397,"10",NA,-0.562856060310496,0.960058017922448,0.301017112866398,-13.2986460790469,-6.46025182677822,7.91738445241432,"X10",NA,NA
"35","SB_indvAge",0.887116548256152,"11",NA,-0.108316281335062,0.82644651709094,0.147468985769306,-11.8767791179168,-2.83590421644559,9.0349163845313,"X11",NA,NA
"36","SB_indvAge",0.5003174274673,"12",NA,-0.011918301065819,0.583740014369463,0.314076227240918,-14.095328367751,-8.36199150041322,4.69110081588239,"X12",NA,NA
"37","SB_indvAge",0.505026135878426,"13",NA,-0.943288315386642,0.576840541575467,0.105088245325333,-14.0977755956157,-8.62762573797204,3.07219292950686,"X13",NA,NA
"38","SB_indvAge",0.99213327952696,"14",NA,-0.43988344126744,0.272405417620006,0.0111691474583013,3.30866038347261,16.7857325658615,2.98826516026824,"X14",NA,NA
"39","KRFC_mixedAge",0.903306993937702,"1",NA,0.314943773199274,0.768635497368176,0.288771852740495,-15.4824424299344,-5.66770895617965,15.1777918289425,"2",NA,NA
"40","KRFC_mixedAge",0.995469228596678,"2",NA,0.857921363349009,0.351452456115632,0.0627607706240725,-8.51557562185759,13.2783221546815,20.1234528909195,"3",NA,NA
"41","KRFC_mixedAge",0.965792236232624,"3",NA,0.885916169066387,0.338554740701118,0.185386964534512,-5.81257226668629,9.68699591262038,9.36879244038991,"4",NA,NA
"42","KRFC_mixedAge",0.74091533444949,"4",NA,0.103711774376158,0.957785480611346,0.514950231960853,-17.9128852962016,-10.4984149327488,10.5952963919418,"5",NA,NA
"43","SB_mixedAge",0.938714493557157,"1",NA,0.653151613248908,0.464586368729786,0.19528798007129,-5.73670867856453,8.4158688559198,13.9275601775536,"X1",NA,NA
