"","age1 (t+0)","age2 (t+1)","age3(t+2)","age4 (t+3)","age5 (t+4)","age6 (t+5)","age7 (t+6)","age8 (t+7)","age9 (t+8)","age10 (t+9)","age11 (t+10)","age12 (t+11)","age13 (t+12)","age14 (t+13)","age15 (t+14)","age16 (t+15)","age17 (t+16)","age18 (t+17)","age19 (t+18)","age20 (t+19)","sim"
"age1 (t+0)...1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age2 (t+1)...2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age3(t+2)...3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age4 (t+3)...4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age5 (t+4)...5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age6 (t+5)...6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age7 (t+6)...7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age8 (t+7)...8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age9 (t+8)...9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age10 (t+9)...10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age11 (t+10)...11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age12 (t+11)...12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age13 (t+12)...13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age14 (t+13)...14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age15 (t+14)...15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age16 (t+15)...16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age17 (t+16)...17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age18 (t+17)...18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age19 (t+18)...19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age20 (t+19)...20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"I"
"age1 (t+0)...21",1,0.990418102470079,0.976643884729963,0.971002665299918,0.968604646889184,0.965091537617505,0.960542095084068,0.960902967128176,0.970274939779153,0.981300965745237,0.989184394108218,0.993554030662259,0.991757472394475,0.979087980845852,0.963238824210445,0.954781474864694,0.95469931676467,0.960251302174405,0.967532250232938,0.974392941753809,"II"
"age2 (t+1)...22",0.990418102470079,1,0.996005797025819,0.990723716770088,0.983605177142603,0.971923000718074,0.957046744203919,0.947758005386621,0.952034248695585,0.963444692696159,0.975261601894059,0.98543291185327,0.991709969075784,0.987839545017014,0.975441006651352,0.965679714359903,0.962273039515439,0.963691496970928,0.966143348329947,0.967495080714936,"II"
"age3(t+2)...23",0.976643884729963,0.996005797025819,1,0.997944728433902,0.990902704570056,0.976920095877581,0.957658207447715,0.942473502462048,0.940861739823776,0.94811580069643,0.958486261025216,0.970442429429099,0.982656022639617,0.987808712286667,0.981611577495655,0.973380375400416,0.968058838948094,0.965438806201234,0.962852997032949,0.959110025417438,"II"
