"","rowname","iter","sim","approach","value"
"1","R2",1,"I","fit_all_stats",0.999941346562354
"2","R2",1,"I","fitsumStats",0.999900967254956
"3","R2",1,"I","fit_NT_stats",0.999739760011167
"4","rmse",1,"I","fit_all_stats",0.0104373531021856
"5","rmse",1,"I","fitsumStats",0.0017352834069574
"6","rmse",1,"I","fit_NT_stats",0.0028129889179161
"7","R2",2,"I","fit_all_stats",0.999733693565181
"8","R2",2,"I","fitsumStats",0.999527807671988
"9","R2",2,"I","fit_NT_stats",0.999369642527654
"10","rmse",2,"I","fit_all_stats",0.0274463229486477
"11","rmse",2,"I","fitsumStats",0.00619867457670753
"12","rmse",2,"I","fit_NT_stats",0.0071619754237724
"13","R2",3,"I","fit_all_stats",0.999637931534114
"14","R2",3,"I","fitsumStats",0.999793639226425
"15","R2",3,"I","fit_NT_stats",0.999618782017458
"16","rmse",3,"I","fit_all_stats",0.0358624136123748
"17","rmse",3,"I","fitsumStats",0.00540072221871577
"18","rmse",3,"I","fit_NT_stats",0.00734048838884766
"19","R2",4,"I","fit_all_stats",0.999697946922736
"20","R2",4,"I","fitsumStats",0.999258748326716
"21","R2",4,"I","fit_NT_stats",0.999611414437877
"22","rmse",4,"I","fit_all_stats",0.030667316534771
"23","rmse",4,"I","fitsumStats",0.00924982846044988
"24","rmse",4,"I","fit_NT_stats",0.00669721383262995
"25","R2",5,"I","fit_all_stats",0.999880848965554
"26","R2",5,"I","fitsumStats",0.999769044805482
"27","R2",5,"I","fit_NT_stats",0.999578976388278
"28","rmse",5,"I","fit_all_stats",0.0158276196665171
"29","rmse",5,"I","fitsumStats",0.00347414727483895
"30","rmse",5,"I","fit_NT_stats",0.00469069920026162
"31","R2",6,"I","fit_all_stats",0.999395997376843
"32","R2",6,"I","fitsumStats",0.998855282901821
"33","R2",6,"I","fit_NT_stats",0.999287335783684
"34","rmse",6,"I","fit_all_stats",0.0593094019038575
"35","rmse",6,"I","fitsumStats",0.0135354236041032
"36","rmse",6,"I","fit_NT_stats",0.0106798522270167
"37","R2",7,"I","fit_all_stats",0.999812241350356
"38","R2",7,"I","fitsumStats",0.9994863511899
"39","R2",7,"I","fit_NT_stats",0.999379877945807
"40","rmse",7,"I","fit_all_stats",0.0213473921799333
"41","rmse",7,"I","fitsumStats",0.0056293527438128
"42","rmse",7,"I","fit_NT_stats",0.00618534471638668
"43","R2",8,"I","fit_all_stats",0.999764596051114
"44","R2",8,"I","fitsumStats",0.99952903942317
"45","R2",8,"I","fit_NT_stats",0.999434777685893
"46","rmse",8,"I","fit_all_stats",0.025105386830828
"47","rmse",8,"I","fitsumStats",0.00572285970039803
"48","rmse",8,"I","fit_NT_stats",0.00626946483886958
"49","R2",9,"I","fit_all_stats",0.999526728595249
"50","R2",9,"I","fitsumStats",0.999341195456333
"51","R2",9,"I","fit_NT_stats",0.999431986663556
"52","rmse",9,"I","fit_all_stats",0.0429965233785045
"53","rmse",9,"I","fitsumStats",0.00897475306707007
"54","rmse",9,"I","fit_NT_stats",0.00833342404920808
"55","R2",10,"I","fit_all_stats",0.999685493034889
"56","R2",10,"I","fitsumStats",0.99925023163095
"57","R2",10,"I","fit_NT_stats",0.999673284074602
"58","rmse",10,"I","fit_all_stats",0.0317819606304037
"59","rmse",10,"I","fitsumStats",0.00975368532094849
"60","rmse",10,"I","fit_NT_stats",0.00643858353716403
"61","R2",11,"I","fit_all_stats",0.999999999901632
"62","R2",11,"I","fitsumStats",0.999778855592434
"63","R2",11,"I","fit_NT_stats",0.999703510976245
"64","rmse",11,"I","fit_all_stats",1.2762097516603e-05
"65","rmse",11,"I","fitsumStats",3.96104287619303e-06
"66","rmse",11,"I","fit_NT_stats",4.58644165264611e-06
"67","R2",12,"I","fit_all_stats",0.999449315135585
"68","R2",12,"I","fitsumStats",0.998615439415064
"69","R2",12,"I","fit_NT_stats",0.999388926175377
"70","rmse",12,"I","fit_all_stats",0.0558276628163196
"71","rmse",12,"I","fitsumStats",0.0139819039463725
"72","rmse",12,"I","fit_NT_stats",0.00928874782747042
"73","R2",13,"I","fit_all_stats",0.9995543217762
"74","R2",13,"I","fitsumStats",0.999282905273931
"75","R2",13,"I","fit_NT_stats",0.999428606693339
"76","rmse",13,"I","fit_all_stats",0.0410642673571
"77","rmse",13,"I","fitsumStats",0.00912609791678652
"78","rmse",13,"I","fit_NT_stats",0.0081463756808736
"79","R2",14,"I","fit_all_stats",0.999408781452964
"80","R2",14,"I","fitsumStats",0.998578806128923
"81","R2",14,"I","fit_NT_stats",0.999393898218664
"82","rmse",14,"I","fit_all_stats",0.0566376986503378
"83","rmse",14,"I","fitsumStats",0.0135822225017813
"84","rmse",14,"I","fit_NT_stats",0.00886986393974144
"85","R2",15,"I","fit_all_stats",0.999555141016055
"86","R2",15,"I","fitsumStats",0.999256048798653
"87","R2",15,"I","fit_NT_stats",0.999404104847671
"88","rmse",15,"I","fit_all_stats",0.0413804103648714
"89","rmse",15,"I","fitsumStats",0.00931053864332071
"90","rmse",15,"I","fit_NT_stats",0.00833273381016907
"91","R2",16,"I","fit_all_stats",0.999477457055955
"92","R2",16,"I","fitsumStats",0.999788453087607
"93","R2",16,"I","fit_NT_stats",0.999699682153387
"94","rmse",16,"I","fit_all_stats",0.0482953563831149
"95","rmse",16,"I","fitsumStats",0.00633761078941214
"96","rmse",16,"I","fit_NT_stats",0.00755114464692988
"97","R2",17,"I","fit_all_stats",0.999488184642915
"98","R2",17,"I","fitsumStats",0.999647387785785
"99","R2",17,"I","fit_NT_stats",0.999671049609455
"100","rmse",17,"I","fit_all_stats",0.0496525799581936
"101","rmse",17,"I","fitsumStats",0.00788141417525759
"102","rmse",17,"I","fit_NT_stats",0.00761238382721561
"103","R2",18,"I","fit_all_stats",0.999538018102242
"104","R2",18,"I","fitsumStats",0.999448831511133
"105","R2",18,"I","fit_NT_stats",0.999488962325616
"106","rmse",18,"I","fit_all_stats",0.0428388897149287
"107","rmse",18,"I","fitsumStats",0.00854365315525988
"108","rmse",18,"I","fit_NT_stats",0.00822674200780722
"109","R2",19,"I","fit_all_stats",0.999747459240985
"110","R2",19,"I","fitsumStats",0.999540438270822
"111","R2",19,"I","fit_NT_stats",0.999399965971144
"112","rmse",19,"I","fit_all_stats",0.0264092485847953
"113","rmse",19,"I","fitsumStats",0.00588517063488898
"114","rmse",19,"I","fit_NT_stats",0.00672473340975347
"115","R2",20,"I","fit_all_stats",0.999702805728858
"116","R2",20,"I","fitsumStats",0.999371733352172
"117","R2",20,"I","fit_NT_stats",0.999403903000402
"118","rmse",20,"I","fit_all_stats",0.0297920748292202
"119","rmse",20,"I","fitsumStats",0.00790055503926915
"120","rmse",20,"I","fit_NT_stats",0.00769562803659198
"121","R2",21,"I","fit_all_stats",0.99950282874162
"122","R2",21,"I","fitsumStats",0.999722783175448
"123","R2",21,"I","fit_NT_stats",0.999644113793997
"124","rmse",21,"I","fit_all_stats",0.0478108035650974
"125","rmse",21,"I","fitsumStats",0.0072501532986541
"126","rmse",21,"I","fit_NT_stats",0.00821472396904803
"127","R2",22,"I","fit_all_stats",0.999640185119267
"128","R2",22,"I","fitsumStats",0.999810762794685
"129","R2",22,"I","fit_NT_stats",0.999623337991914
"130","rmse",22,"I","fit_all_stats",0.0356735272162347
"131","rmse",22,"I","fitsumStats",0.00518545266052163
"132","rmse",22,"I","fit_NT_stats",0.00731575781106489
"133","R2",23,"I","fit_all_stats",0.999505719532311
"134","R2",23,"I","fitsumStats",0.999772789298805
"135","R2",23,"I","fit_NT_stats",0.999602347700411
"136","rmse",23,"I","fit_all_stats",0.0455805278921558
"137","rmse",23,"I","fitsumStats",0.0062054523076525
"138","rmse",23,"I","fit_NT_stats",0.00820938834272828
"139","R2",24,"I","fit_all_stats",0.999819670942616
"140","R2",24,"I","fitsumStats",0.999503852179665
"141","R2",24,"I","fit_NT_stats",0.999379212957751
"142","rmse",24,"I","fit_all_stats",0.0207717290986693
"143","rmse",24,"I","fitsumStats",0.00550942362300401
"144","rmse",24,"I","fit_NT_stats",0.00616271302340129
"145","R2",25,"I","fit_all_stats",0.999564423505072
"146","R2",25,"I","fitsumStats",0.999249681886517
"147","R2",25,"I","fit_NT_stats",0.999409237365946
"148","rmse",25,"I","fit_all_stats",0.0408056538561214
"149","rmse",25,"I","fitsumStats",0.00930721079080303
"150","rmse",25,"I","fit_NT_stats",0.00825854127437452
"151","R2",26,"I","fit_all_stats",0.999823249690509
"152","R2",26,"I","fitsumStats",0.999512984743473
"153","R2",26,"I","fit_NT_stats",0.999381104064515
"154","rmse",26,"I","fit_all_stats",0.0204956738956984
"155","rmse",26,"I","fitsumStats",0.00544773617202843
"156","rmse",26,"I","fit_NT_stats",0.00614120505985149
"157","R2",27,"I","fit_all_stats",0.999442561516828
"158","R2",27,"I","fitsumStats",0.999590995972257
"159","R2",27,"I","fit_NT_stats",0.999701991373602
"160","rmse",27,"I","fit_all_stats",0.0522035739428931
"161","rmse",27,"I","fitsumStats",0.00832195083589567
"162","rmse",27,"I","fit_NT_stats",0.00710355538949286
"163","R2",28,"I","fit_all_stats",0.999602344373029
"164","R2",28,"I","fitsumStats",0.999602423530759
"165","R2",28,"I","fit_NT_stats",0.999566544122914
"166","rmse",28,"I","fit_all_stats",0.0379940358189265
"167","rmse",28,"I","fitsumStats",0.00731522503323305
"168","rmse",28,"I","fit_NT_stats",0.00763817847901601
"169","R2",29,"I","fit_all_stats",0.999485419291497
"170","R2",29,"I","fitsumStats",0.999632797014999
"171","R2",29,"I","fit_NT_stats",0.999669776637438
"172","rmse",29,"I","fit_all_stats",0.0497677407060186
"173","rmse",29,"I","fitsumStats",0.00805020206139872
"174","rmse",29,"I","fit_NT_stats",0.00763409530772519
"175","R2",30,"I","fit_all_stats",0.9995413249114
"176","R2",30,"I","fitsumStats",0.999465940154372
"177","R2",30,"I","fit_NT_stats",0.999498766260556
"178","rmse",30,"I","fit_all_stats",0.0427511526114888
"179","rmse",30,"I","fitsumStats",0.00847588236202946
"180","rmse",30,"I","fit_NT_stats",0.00821126571310898
"181","R2",31,"I","fit_all_stats",0.999730254193179
"182","R2",31,"I","fitsumStats",0.999517010403263
"183","R2",31,"I","fit_NT_stats",0.999360052165782
"184","rmse",31,"I","fit_all_stats",0.0277024682663351
"185","rmse",31,"I","fitsumStats",0.00633178642181323
"186","rmse",31,"I","fit_NT_stats",0.00728835731192668
"187","R2",32,"I","fit_all_stats",0.999626797079925
"188","R2",32,"I","fitsumStats",0.999732837324234
"189","R2",32,"I","fit_NT_stats",0.999604362215293
