"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","model","tslength","approach","maxE","iter"
"1","5yrs20ages",1.04261736383389,0.403367741428758,0.0140569539574614,1.41242649113441,0.991313660263846,NA,NA,NA,"prey205",5,"hier",2,1
"2","10yrs10ages",0.0739171548184725,0.0363741427851414,0.01,3.3376030967522,0.998061690964979,0.123216933418935,NA,NA,"prey1010",10,"hier",3,1
"3","20yrs5ages",0.0397867410345455,0.0569162204521128,0.01,2.8161235809327,0.99760488706886,1.73958985858633e-151,0.0550002695474546,NA,"prey520",20,"hier",4,1
"4","25yrs4ages",0.0356925763372898,0.0206747195868875,0.01,2.84321763932504,0.997308102554796,0.011025307509337,0,0.0308730124297823,"prey425",25,"hier",5,1
"5","5yrs20ages",8.62582085605141e-313,3.00748987568577e-44,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,1
"6","10yrs10ages",0.0945181504373667,1.52149153278553e-06,NA,NA,NA,0.109980439717035,NA,NA,"prey1010",10,"TAindex",3,1
"7","20yrs5ages",0.12150294335927,0.0664106535524132,NA,NA,NA,0.0142943264827463,4.59775138097311e-249,NA,"prey520",20,"TAindex",4,1
"8","25yrs4ages",0.153509497044473,0.0587474124334737,NA,NA,NA,0.00826316895024276,0.00308785593881505,3.35523367526795e-173,"prey425",25,"TAindex",5,1
"9","5yrs20ages",1.02268190508251,0.245758919163701,0.0246421924902876,1.68221597176559,0.981548445458774,NA,NA,NA,"prey205",5,"hier",2,2
"10","10yrs10ages",0.495707161331027,0.129465189629863,0.01,2.97197543856166,0.997018596506933,8.87541106236747e-243,NA,NA,"prey1010",10,"hier",3,2
"11","20yrs5ages",0.333743620119241,0.0497973208443555,0.01,2.91303209451276,0.998066601014524,1.10082615008258e-08,0.0241018495393002,NA,"prey520",20,"hier",4,2
"12","25yrs4ages",0.0671466906341351,0.0100215427340722,0.01,1.56095415045436,0.995209222732411,0.0224523559232758,0,0.297337565141063,"prey425",25,"hier",5,2
"13","5yrs20ages",4.68775916103484e-07,2.44068028577548e-31,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,2
"14","10yrs10ages",0.250013408097006,1.84664128336754e-31,NA,NA,NA,0.0201583671917276,NA,NA,"prey1010",10,"TAindex",3,2
"15","20yrs5ages",0.468605765228401,0.0751497879023002,NA,NA,NA,0.00674491436328271,0,NA,"prey520",20,"TAindex",4,2
"16","25yrs4ages",0.477526727845494,0.0479554557965989,NA,NA,NA,0.0205064824493735,0,0,"prey425",25,"TAindex",5,2
"17","5yrs20ages",0.7393327766109,0.285701091043076,0.0452583326644126,1.5669006431672,0.978243654156514,NA,NA,NA,"prey205",5,"hier",2,3
"18","10yrs10ages",0.335408795628812,0.243865812347092,0.0118854368985338,2.68471501169764,0.996067863168208,0,NA,NA,"prey1010",10,"hier",3,3
"19","20yrs5ages",0.558030558619886,0.188881298020249,0.01,3.05642918766425,0.999582143737743,0,2.93969059275542e-321,NA,"prey520",20,"hier",4,3
"20","25yrs4ages",0.583433906611707,0.260197228164626,0.01,2.62723105813188,0.998789148262019,1.10543384691338e-87,1.70405236473632e-291,6.83758645288776e-291,"prey425",25,"hier",5,3
"21","5yrs20ages",0.0520032651504205,0.0636882868002091,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,3
"22","10yrs10ages",0.109849837940512,1.80255747316459e-63,NA,NA,NA,0.292162326170091,NA,NA,"prey1010",10,"TAindex",3,3
"23","20yrs5ages",0.196645776218189,0.145408682655093,NA,NA,NA,0,0.000707744378934635,NA,"prey520",20,"TAindex",4,3
"24","25yrs4ages",0.529001096585029,0.237001185211079,NA,NA,NA,1.72734147532588e-303,7.76661900481288e-99,0.000287192996825066,"prey425",25,"TAindex",5,3
"25","5yrs20ages",0.872471221974652,0.272087606483508,0.0506900652998964,1.19692658429291,0.988825832528359,NA,NA,NA,"prey205",5,"hier",2,4
"26","10yrs10ages",0.167901496813325,0.0107225778341536,0.01,3.33574651181252,0.991837042092991,0.0185174406449465,NA,NA,"prey1010",10,"hier",3,4
"27","20yrs5ages",0.0651403044785051,0.0650040765952067,0.01,2.08696987353829,0.997498805584657,1.86420439987058e-08,0.147312608990783,NA,"prey520",20,"hier",4,4
"28","25yrs4ages",0.0579233209105771,0.0184254079647398,0.01,1.53235872956214,0.995286213517243,0.0303243416375375,0,0.109152162383758,"prey425",25,"hier",5,4
"29","5yrs20ages",0.036054722650856,9.01926115728654e-130,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,4
"30","10yrs10ages",0.167453094865487,0,NA,NA,NA,0.0820258494451303,NA,NA,"prey1010",10,"TAindex",3,4
"31","20yrs5ages",0.225600929041545,0.0791403452268198,NA,NA,NA,0.00515604940099881,0,NA,"prey520",20,"TAindex",4,4
"32","25yrs4ages",0.353696944917989,0.0947813934109443,NA,NA,NA,1.22570350356587e-105,0,0,"prey425",25,"TAindex",5,4
"33","5yrs20ages",0.287237662434245,0.272139690096746,0.0211429623645516,1.79222603061769,0.969020907574477,NA,NA,NA,"prey205",5,"hier",2,5
"34","10yrs10ages",0.197942655451927,0.0186320311458443,0.01,2.38762461249444,0.995529384190681,0.0865981788132544,NA,NA,"prey1010",10,"hier",3,5
"35","20yrs5ages",0.0839273457884716,0.0279341899489169,0.01,1.60636891877454,0.998044106181674,4.01997510451501e-226,0.284018102754784,NA,"prey520",20,"hier",4,5
"36","25yrs4ages",0.0707014804038411,0.0127642276810944,0.01,1.60538318043953,0.996920314652224,0.0243501015808672,0,0.222099638899993,"prey425",25,"hier",5,5
"37","5yrs20ages",0,0.0886097020453977,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,5
"38","10yrs10ages",0.134838332889053,3.77927775941546e-55,NA,NA,NA,0.187905530966718,NA,NA,"prey1010",10,"TAindex",3,5
"39","20yrs5ages",0.298943721238188,0.147750171240031,NA,NA,NA,0,0,NA,"prey520",20,"TAindex",4,5
"40","25yrs4ages",0.460380930214403,0.0507043089580022,NA,NA,NA,0.0236159642516511,0,0,"prey425",25,"TAindex",5,5
"41","5yrs20ages",1.43488366370133,1.1164974407217,0.0376139802972589,1.09671167799866,0.994680599346122,NA,NA,NA,"prey205",5,"hier",2,6
"42","10yrs10ages",0.59482411275115,0.216745100551098,0.01,1.8357572566449,0.997724023401045,0,NA,NA,"prey1010",10,"hier",3,6
"43","20yrs5ages",0.223844244671678,0.0388553869831057,0.01,1.86911560671618,0.997499925519849,0,0.222822077660617,NA,"prey520",20,"hier",4,6
"44","25yrs4ages",0.329315696605271,0.00503915848189915,0.01,1.51297547058145,0.998139664545413,0.0124445787750031,1.66436357101568e-88,0.104404433087813,"prey425",25,"hier",5,6
"45","5yrs20ages",0.125988301883868,0.00120821733581767,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,6
"46","10yrs10ages",0.296366057321813,0.133401275528978,NA,NA,NA,3.12680949994229e-116,NA,NA,"prey1010",10,"TAindex",3,6
"47","20yrs5ages",0.560614709076034,0.0535689359771325,NA,NA,NA,0.046056641473956,0,NA,"prey520",20,"TAindex",4,6
"48","25yrs4ages",0.305861158725836,0.015449266489141,NA,NA,NA,0.0464089790870731,2.27166477890432e-70,4.64329622959346e-260,"prey425",25,"TAindex",5,6
"49","5yrs20ages",0.294661612860796,0.279086845809373,0.027413555530466,1.77461969452891,0.967622315040702,NA,NA,NA,"prey205",5,"hier",2,7
"50","10yrs10ages",1.13884619008027,0.335122709128472,0.01,1.89462613470738,0.99856960985755,0,NA,NA,"prey1010",10,"hier",3,7
"51","20yrs5ages",0.182569263488582,0.0277244490275651,0.01,1.5272034949839,0.998877879813762,0,0.180267184646352,NA,"prey520",20,"hier",4,7
"52","25yrs4ages",0.0744228891211072,0.0845697620356292,0.01,1.65079652367683,0.99947962715527,0.00312481252227882,0,0.28627390073907,"prey425",25,"hier",5,7
"53","5yrs20ages",7.96413672981252e-308,1.69091115012093e-18,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,7
