"","models","OOS_R2","OOS_rmse","R2","rmse","ln_post","lnL_LOO","df","rho","tslength","approach","iter","age_class","model","age class"
"1","5yrs20ages",0.989062472081277,0.439640918680203,0.999862880540586,0.0513526268077536,64.8504166883827,117.818327710173,52.371542355043,0.98892843165125,5,"hier",1,"all","prey205",NA
"2","10yrs10ages",0.999739851259477,0.0354148159550203,0.999728080244669,0.0360484873773361,106.153839670031,156.821604686639,30.7525618200582,0.991617820250418,10,"hier",1,"all","prey1010",NA
"3","20yrs5ages",0.999280835867396,0.0365990319389867,0.999670327487246,0.0242999776624789,145.280459577834,184.624990135274,14.8637655699746,0.997741657175781,20,"hier",1,"all","prey520",NA
"4","25yrs4ages",0.999444512652887,0.0263962252318665,0.999846252517949,0.0157214597873335,145.903128199225,184.92362803546,13.4164810880707,0.996997464613589,25,"hier",1,"all","prey425",NA
"5","5yrs20ages",0.87794392774037,2.02650818987962,0.992546630164718,0.526503980875363,23.8275052590813,47.6016012354714,20.6381545425678,0.984440440525317,5,"hier",2,"all","prey205",NA
"6","10yrs10ages",0.890583394711587,1.2850872628923,0.987469087771009,0.384230239231131,40.7253623157866,75.8115867768736,27.7399753731447,0.995665035917227,10,"hier",2,"all","prey1010",NA
"7","20yrs5ages",0.837029028238041,0.949941213806264,0.997056277038777,0.155019240871691,68.0975388905542,133.521966375237,43.647229059489,0.99781419001341,20,"hier",2,"all","prey520",NA
"8","25yrs4ages",0.879986392481334,0.858101389539563,0.99766094146518,0.122170836792682,84.9008392396992,148.180600616105,36.2108471791704,0.999015825142269,25,"hier",2,"all","prey425",NA
"9","5yrs20ages",0.772910453128314,2.95569043632229,0.998584851813878,0.218188289479652,35.274536520693,97.1767457499109,55.7077023546487,0.990194947458613,5,"hier",3,"all","prey205",NA
"10","10yrs10ages",0.99547567319927,0.284896213594648,0.998314026595787,0.170961621539733,82.2563906624842,135.796286109332,40.8034523634832,0.987197540455377,10,"hier",3,"all","prey1010",NA
"11","20yrs5ages",0.99712960215199,0.201166260217078,0.997816960655089,0.170700193186211,130.633375486219,172.223778994456,19.1129789163198,0.996266095457054,20,"hier",3,"all","prey520",NA
"12","25yrs4ages",0.997862685336583,0.173616942320695,0.998395331109951,0.146093722494382,137.436636657384,176.604277004452,14.4105581543118,0.998848394794119,25,"hier",3,"all","prey425",NA
"13","5yrs20ages",0.969344586676524,0.722024373127062,0.998250967987347,0.163819051294983,36.8991151265013,71.4439506031825,44.6230065908331,0.980442450563802,5,"hier",4,"all","prey205",NA
"14","10yrs10ages",0.998513810250103,0.0904054430444493,0.999068826679092,0.0712123898402811,102.625801619358,152.133366552806,29.4667778548934,0.995578456693881,10,"hier",4,"all","prey1010",NA
"15","20yrs5ages",0.999396313801371,0.0466219767207749,0.999076537470875,0.0506984838057953,138.235837682336,179.723269796867,17.8841545078309,0.997464755407832,20,"hier",4,"all","prey520",NA
"16","25yrs4ages",0.999458386590124,0.0370270479615606,0.999571510194068,0.0345860367921802,144.111649177693,183.002915973551,14.0379259281065,0.998648928556099,25,"hier",4,"all","prey425",NA
"17","5yrs20ages",0.703058602083949,3.34186616888948,0.998909523730395,0.193010656248123,57.1847476826918,152.648054233193,29.1127198599393,0.999827136871349,5,"hier",5,"all","prey205",NA
"18","10yrs10ages",0.997667853427131,0.207622986853112,0.998091201559608,0.191664319289733,99.3317811818827,151.85182641851,26.1741174941655,0.999108951054868,10,"hier",5,"all","prey1010",NA
"19","20yrs5ages",0.999406911328099,0.0872802057103503,0.999509977202022,0.0889613131318585,138.200660347214,181.973662090873,18.6484920035385,0.997270109101009,20,"hier",5,"all","prey520",NA
"20","25yrs4ages",0.999603961769506,0.0747046209391482,0.999542050315699,0.0817864277018201,138.336174073733,181.836322842356,16.3737787821666,0.996768264544562,25,"hier",5,"all","prey425",NA
"21","5yrs20ages",0.890901613185253,1.18653486149758,0.99931129113257,0.0955453671783975,47.4737537965563,92.3718856141293,62.3359696405241,0.972575802579111,5,"hier",6,"all","prey205",NA
"22","10yrs10ages",0.998390376519628,0.101751805287922,0.998968593853881,0.0817765124467067,107.200022622277,158.323246692451,28.3810357886696,0.997159294767378,10,"hier",6,"all","prey1010",NA
"23","20yrs5ages",0.999473619726353,0.0539354764241704,0.9994664193258,0.051812438743313,136.627683921636,181.907904901739,18.8412158306139,0.997565399404832,20,"hier",6,"all","prey520",NA
"24","25yrs4ages",0.999622606229762,0.0420251654266571,0.999661462062141,0.0407499410803888,143.162474081123,183.628392764951,14.5468135883337,0.997856078968634,25,"hier",6,"all","prey425",NA
